id,factory_id,site_id,factory_name,industry_category,monitoring_start,monitoring_end,monitoring_days,parameter_count,parameter_list,total_records,expected_records,coverage_percentage,average_records_per_day,missing_records,missing_percentage,duplicate_records,duplicate_percentage,negative_values,negative_percentage,zero_values,zero_percentage,longest_gap,number_of_outages,cto_available,inspection_schedule_available,quality_grade,readiness_score,recommended_fingerprints,created_at,updated_at,cto_status,region,industry
20,site_1668,site_1668,Nouryon Chemicals India Pvt Ltd,Chemical,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,5,"[""ETP-TSS"", ""ETP-Flow"", ""ETP-pH"", ""ETP-COD"", ""ETP-BOD""]",87431,175680,49.77,238.89,88249,50.23,0,0,0,0.0,32459,37.13,44670,45,t,t,D,79.9,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:27.886428+05:30,2026-07-12 17:56:18.344816+05:30,EXTRACTED,Mahad,Chemical Manufacturing
10,site_1787,site_1787,SHREE HARI CHEMICALS EXPORT LTD,Chemical,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,1,"[""ETP-Flow""]",34161,35136,97.23,93.34,975,2.77,0,0,0,0.0,175,0.51,1470,30,t,t,A,83.9,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:24.719034+05:30,2026-07-12 11:04:30.817717+05:30,EXTRACTED,Mahad,Chemical Manufacturing
4,site_1369,site_1369,Privi Specialty Chemicals Ltd (Unit-II),Chemical,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,5,"[""ETP-pH"", ""ETP-COD"", ""ETP-BOD"", ""ETP-TSS"", ""ETP-Flow""]",87457,175680,49.78,238.96,88223,50.22,0,0,0,0.0,13647,15.6,81390,66,t,f,D,64.9,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:21.058857+05:30,2026-07-12 17:51:58.029055+05:30,EXTRACTED,Mahad,Chemical Manufacturing
5,site_1167,site_1167,Super Petroleum Products Pvt Ltd,Chemical,2024-01-01 00:00:00,2024-10-31 13:45:00,304.57,1,"[""ETP-Flow""]",7650,29240,26.16,25.12,21590,73.84,0,0,0,0.0,7650,100.0,79320,69,t,f,D,40.5,"[""Data Gap Recovery"", ""Sensor Calibration Audit""]",2026-07-07 07:31:22.264436+05:30,2026-07-12 11:17:11.952776+05:30,ESTIMATED_PROXY,Taloja,Petrochemical Refinery
11,site_1756,site_1756,Aquapharm Chemicals Pvt Ltd,Chemical,2024-01-01 00:00:00,2024-12-31 23:30:00,365.98,5,"[""ETP-TSS"", ""ETP-BOD"", ""ETP-Flow"", ""ETP-COD"", ""ETP-pH""]",51559,175675,29.35,140.88,124116,70.65,0,0,0,0.0,3213,6.23,174255,54,t,t,D,71.7,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:25.570699+05:30,2026-07-12 17:52:04.297979+05:30,EXTRACTED,Mahad,Chemical Manufacturing
15,site_1221,site_1221,Zirconium Chemicals Pvt Ltd,Chemical,2024-01-03 06:45:00,2024-12-31 23:45:00,363.71,2,"[""ETP-pH"", ""ETP-Flow""]",63588,69834,91.06,174.83,6246,8.94,0,0,0,0.0,29078,45.73,5700,128,t,f,A,71.4,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:26.301106+05:30,2026-07-12 17:52:05.712357+05:30,EXTRACTED,Taloja,Chemical Manufacturing
18,site_1264,site_1264,Imagico India Pvt Ltd,Chemical,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,2,"[""ETP-pH"", ""ETP-Flow""]",43732,70272,62.23,119.49,26540,37.77,0,0,0,0.0,21693,49.6,122415,36,t,f,C,59.9,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:27.14126+05:30,2026-07-12 17:52:07.583698+05:30,EXTRACTED,Taloja,Chemical Manufacturing
3,site_1232,site_1232,Altaroma Chemicals Pvt Ltd,Chemical,2024-01-01 00:00:00,2024-12-13 23:45:00,347.99,2,"[""ETP-pH"", ""ETP-Flow""]",56924,66816,85.2,163.58,9892,14.8,0,0,28462,50.0,0,0.0,21600,176,t,t,B,84.1,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:20.40165+05:30,2026-07-12 17:56:06.337475+05:30,ESTIMATED_PROXY,Taloja,Chemical Manufacturing
22,site_1310,site_1310,Aezis Global Pvt Ltd,Chemical,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,1,"[""ETP-Flow""]",27740,35136,78.95,75.79,7396,21.05,0,0,0,0.0,3101,11.18,96420,11,t,t,B,76.6,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:29.823523+05:30,2026-07-12 11:18:48.707269+05:30,EXTRACTED,Mahad,Chemical Manufacturing
19,site_1909,site_1909,Cyklo Pharma Chem Pvt Ltd,Chemical,2024-04-16 12:45:00,2024-07-10 20:45:00,85.33,2,"[""ETP-Flow"", ""ETP-pH""]",7224,16386,44.09,84.66,9162,55.91,0,0,2,0.03,3610,49.97,34410,60,t,t,D,62.4,"[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:27.709351+05:30,2026-07-12 11:18:44.821195+05:30,EXTRACTED,Taloja,Pharmaceutical Synthetics
