factory_id,impossible_ph_range,inspection_dip,flatline,limit_hugging,correlation_break,copy_paste,coordinated_missing_data,data_integrity,trig_impossible_ph_range,trig_inspection_dip,trig_flatline,trig_limit_hugging,trig_correlation_break,trig_copy_paste,trig_coordinated_missing_data,trig_data_integrity,total_fingerprints_triggered
site_1131,0.0,0.0,97.770690377243,0.0,,0.0,-0.9108676900006855,0.0,0,0,1,0,0,0,0,0,1
site_1138,0.0,,0.0,0.0,,0.0,-0.9563229828479151,5.29050499402458,0,0,0,0,0,0,0,1,1
site_1167,0.0,,100.0,0.0,,0.0,1.2812049983916802,0.0,0,0,1,0,0,0,0,0,1
site_1200,0.0,-18.447930969335086,86.28363767419509,0.0,,6.204641161186274,-1.1776092146933426,0.0,0,0,1,0,0,1,0,0,2
site_1203,0.0,,99.94851497892331,0.0,,0.0,-0.943637784844037,0.049241089315881295,0,0,1,0,0,0,0,0,1
site_1221,1.8745675284644903,,56.31547487966779,0.9813172296659747,-0.028366932791992944,1.194956353055286,-1.0056543084185519,0.0,1,0,1,0,0,1,0,0,3
site_1232,0.0,,3.465120365489369,0.0,,8.779314491882142,-0.7991674742443151,2.6473703933269515,0,0,0,0,0,1,0,1,2
site_1247,0.0,-100.0,97.70318702069444,0.0,,0.0,-0.3999361037333764,0.0,0,1,1,0,0,0,0,0,2
site_1256,73.2394366197183,,41.343669250645995,0.0,0.21498074641602416,0.4020100502512563,0.9549135164030399,0.0,1,0,1,0,0,0,0,0,2
site_1257,0.0,-5.745591828354626,22.48611222928911,0.0,-0.06537583788806363,0.2984636461493297,-0.9150960893353116,0.005824214865319293,0,0,1,0,0,0,0,0,1
site_1259,19.27027027027027,,38.55730501647748,0.0,0.17658318205111853,0.5982905982905983,1.1758473816372486,1.7181433852691916,1,0,1,0,0,0,0,1,3
site_1264,0.15551388190092852,,56.82946357085669,0.7866633126757987,0.05441593068785892,20.466246550516907,0.010218631725346403,0.0005294740786653903,1,0,1,0,0,1,0,0,3
site_1280,0.0,-22.72675566738294,0.010167423574866129,0.0,,0.07843939703976537,-0.7843680765731241,0.030709496562592635,0,1,0,0,0,0,0,0,1
site_1281,10.290408589752829,-61.52772830949574,43.97303589422843,2.5040808529851004,-0.010908850136660073,1.914086619035018,0.03171299500969525,1.7737381635290574,1,1,1,0,0,1,0,1,5
site_1284,5.139873538992144,1.159531494260166,43.3334270373598,2.346362435720909,,10.945129320763838,0.0,0.8138016589087049,1,0,1,0,0,1,0,0,3
site_1285,0.02967107494065785,-18.885714061740583,48.653429190916356,0.0,-0.043103174442036374,11.725989210954237,-0.8255949700857277,0.6846099837143497,1,0,1,0,0,1,0,0,3
site_1310,0.0,33.07618665826531,11.131143403165904,0.0,,0.0,-0.5789383422325439,0.0,0,0,1,0,0,0,0,0,1
site_1321,2.6711843038373653,0.19055558863812852,43.19660731761757,1.0003775009437523,0.2696879840410452,7.915694634381787,1.0341960039272775,0.0,1,0,1,0,0,1,0,0,3
site_1369,0.053315561479506834,-8.506560398990995,53.53914481227145,0.004573676206592954,-0.0639393322354079,0.1368028454991864,0.44891506269279446,0.0,1,0,1,0,0,0,0,0,2
site_1376,0.0028900063580139875,-0.016158526972915477,51.33979693106344,0.0,0.6944862219313608,5.024450598008602,0.3442621791608008,0.0,1,0,1,0,0,1,0,0,3
site_1561,2.2782503037667072,0.6001900506201912,44.839460510792975,0.8778857837181046,,0.006215426689042203,-1.098326727169105,0.0,1,0,1,0,0,0,0,0,2
site_1569,0.0,0.0,100.0,0.0,,0.0,-1.1575243178538692,0.0,0,0,1,0,0,0,0,0,1
site_1581,74.26470588235294,,48.99598393574297,0.0,,0.0,2.1881966556689587,0.2123191055448215,1,0,1,0,0,0,1,0,3
site_1668,7.570067351562742,0.5208653000265971,18.154063695086286,14.48714448602033,0.01912768248537368,3.6105131776495485,0.4492674293040132,1.5238263983989933,1,0,1,1,0,1,0,1,5
site_1756,0.0,-0.3208177399485908,81.43777657014206,0.004524886877828055,0.19185178681402681,1.0658752716936968,1.1688000494128723,0.0,0,0,1,0,0,1,0,0,2
site_1787,0.0,0.6404549511154153,6.441266478342749,0.0,,0.0,-1.2230645075405722,0.0,0,0,1,0,0,0,0,0,1
site_1789,12.524366471734893,-1.8488955259495137,34.072801124824245,5.238245503313348,,0.9308739872435787,2.0419645120131427,0.0,1,0,1,1,0,0,1,0,4
site_1799,39.74959891786467,-22.12329033215565,80.09123842747887,7.715551658812293,0.2849171956342158,1.7221755760798583,0.7075521553274187,0.0,1,1,1,1,0,1,0,0,5
site_1905,0.0,79.05135988823525,84.36052046969216,0.0,,1.048063538852043,-0.13495641209681333,0.0,0,0,1,0,0,1,0,0,2
site_1909,1.0800332317917474,,56.64539400665927,0.8723345333702576,0.06583972175297012,17.017543859649123,0.6494116644763108,0.0015884222359961709,1,0,1,0,0,1,0,0,3
site_2070,9.821428571428571,,92.55725190839695,0.0,0.5593773376900181,0.0,0.9908549107473608,0.0,1,0,1,0,0,0,0,0,2
site_887,0.0,-4.174448746150273,26.95872801082544,5.058896763072209,0.015338373726300389,0.7904014557034005,0.4175544342943182,0.0,0,0,1,1,0,0,0,0,2
site_982,0.0,,96.93446088794926,0.0,-0.02643473785997508,5.269970414201183,-1.1656287499119025,0.0,0,0,1,0,0,1,0,0,2
