factory_id,fingerprint_name,shap_value,direction
site_1131,value,3.1125,RISK_INCREASE
site_1131,rolling_mean,-1.4763,RISK_DECREASE
site_1131,rolling_std,-0.2212,RISK_DECREASE
site_1131,rolling_cov,0.3683,RISK_INCREASE
site_1131,flatline_flag,2.4839,RISK_INCREASE
site_1131,corr_ETP-Flow_ETP-pH,-1.2517,RISK_DECREASE
site_1131,corr_ETP-BOD_ETP-COD,-0.9219,RISK_DECREASE
site_1131,corr_ETP-BOD_ETP-Flow,0.0032,RISK_INCREASE
site_1131,corr_ETP-BOD_ETP-TSS,0.7193,RISK_INCREASE
site_1131,corr_ETP-BOD_ETP-pH,-0.1116,RISK_DECREASE
site_1131,corr_ETP-COD_ETP-Flow,0.0107,RISK_INCREASE
site_1131,corr_ETP-COD_ETP-TSS,0.4632,RISK_INCREASE
site_1131,corr_ETP-COD_ETP-pH,-0.3146,RISK_DECREASE
site_1131,corr_ETP-Flow_ETP-TSS,0.0017,RISK_INCREASE
site_1131,corr_ETP-TSS_ETP-pH,0.0104,RISK_INCREASE
site_1131,autocorrelation,0.2244,RISK_INCREASE
site_1131,missing_rate,0.0,NEUTRAL
site_1131,limit_hugging,-0.143,RISK_DECREASE
site_1131,bdl_rate,0.0789,RISK_INCREASE
site_1131,duplicate_run_length,-0.6863,RISK_DECREASE
site_1131,cov_severity,0.0,NEUTRAL
site_1131,bod_cod_ratio,-0.0208,RISK_DECREASE
site_1131,bod_cod_ratio_volatility,-0.0201,RISK_DECREASE
site_1131,pre_inspection_dip_score,0.0516,RISK_INCREASE
site_1131,coordinated_missing_flag,-2.5913,RISK_DECREASE
site_1167,value,3.4311,RISK_INCREASE
site_1167,rolling_mean,-1.2565,RISK_DECREASE
site_1167,rolling_std,-0.2429,RISK_DECREASE
site_1167,rolling_cov,0.2529,RISK_INCREASE
site_1167,flatline_flag,2.8681,RISK_INCREASE
site_1167,corr_ETP-Flow_ETP-pH,-1.1936,RISK_DECREASE
site_1167,corr_ETP-BOD_ETP-COD,-0.8841,RISK_DECREASE
site_1167,corr_ETP-BOD_ETP-Flow,0.0033,RISK_INCREASE
site_1167,corr_ETP-BOD_ETP-TSS,0.7684,RISK_INCREASE
site_1167,corr_ETP-BOD_ETP-pH,-0.1085,RISK_DECREASE
site_1167,corr_ETP-COD_ETP-Flow,0.0103,RISK_INCREASE
site_1167,corr_ETP-COD_ETP-TSS,0.5675,RISK_INCREASE
site_1167,corr_ETP-COD_ETP-pH,-0.3097,RISK_DECREASE
site_1167,corr_ETP-Flow_ETP-TSS,0.0017,RISK_INCREASE
site_1167,corr_ETP-TSS_ETP-pH,0.0105,RISK_INCREASE
site_1167,autocorrelation,0.2745,RISK_INCREASE
site_1167,missing_rate,0.0,NEUTRAL
site_1167,limit_hugging,-0.1427,RISK_DECREASE
site_1167,bdl_rate,0.0748,RISK_INCREASE
site_1167,duplicate_run_length,1.0882,RISK_INCREASE
site_1167,cov_severity,0.0,NEUTRAL
site_1167,bod_cod_ratio,-0.0307,RISK_DECREASE
site_1167,bod_cod_ratio_volatility,-0.0227,RISK_DECREASE
site_1167,pre_inspection_dip_score,0.0514,RISK_INCREASE
site_1167,coordinated_missing_flag,-2.4315,RISK_DECREASE
site_1200,value,4.1308,RISK_INCREASE
site_1200,rolling_mean,-0.2805,RISK_DECREASE
site_1200,rolling_std,0.3617,RISK_INCREASE
site_1200,rolling_cov,0.2712,RISK_INCREASE
site_1200,flatline_flag,2.5361,RISK_INCREASE
site_1200,corr_ETP-Flow_ETP-pH,-1.4001,RISK_DECREASE
site_1200,corr_ETP-BOD_ETP-COD,-0.77,RISK_DECREASE
site_1200,corr_ETP-BOD_ETP-Flow,0.0031,RISK_INCREASE
site_1200,corr_ETP-BOD_ETP-TSS,0.8829,RISK_INCREASE
site_1200,corr_ETP-BOD_ETP-pH,-0.1118,RISK_DECREASE
site_1200,corr_ETP-COD_ETP-Flow,0.0112,RISK_INCREASE
site_1200,corr_ETP-COD_ETP-TSS,0.5208,RISK_INCREASE
site_1200,corr_ETP-COD_ETP-pH,-0.2985,RISK_DECREASE
site_1200,corr_ETP-Flow_ETP-TSS,0.0016,RISK_INCREASE
site_1200,corr_ETP-TSS_ETP-pH,0.0104,RISK_INCREASE
site_1200,autocorrelation,-0.1102,RISK_DECREASE
site_1200,missing_rate,0.0,NEUTRAL
site_1200,limit_hugging,-0.1498,RISK_DECREASE
site_1200,bdl_rate,0.0822,RISK_INCREASE
site_1200,duplicate_run_length,2.3003,RISK_INCREASE
site_1200,cov_severity,0.0,NEUTRAL
site_1200,bod_cod_ratio,-0.0039,RISK_DECREASE
site_1200,bod_cod_ratio_volatility,-0.0266,RISK_DECREASE
site_1200,pre_inspection_dip_score,0.0758,RISK_INCREASE
site_1200,coordinated_missing_flag,-2.2059,RISK_DECREASE
site_1203,value,3.0251,RISK_INCREASE
site_1203,rolling_mean,-1.4851,RISK_DECREASE
site_1203,rolling_std,-0.2277,RISK_DECREASE
site_1203,rolling_cov,0.2416,RISK_INCREASE
site_1203,flatline_flag,2.6176,RISK_INCREASE
site_1203,corr_ETP-Flow_ETP-pH,-1.2257,RISK_DECREASE
site_1203,corr_ETP-BOD_ETP-COD,-0.9423,RISK_DECREASE
site_1203,corr_ETP-BOD_ETP-Flow,0.003,RISK_INCREASE
site_1203,corr_ETP-BOD_ETP-TSS,0.7144,RISK_INCREASE
site_1203,corr_ETP-BOD_ETP-pH,-0.1173,RISK_DECREASE
site_1203,corr_ETP-COD_ETP-Flow,0.0102,RISK_INCREASE
site_1203,corr_ETP-COD_ETP-TSS,0.4859,RISK_INCREASE
site_1203,corr_ETP-COD_ETP-pH,-0.3305,RISK_DECREASE
site_1203,corr_ETP-Flow_ETP-TSS,0.0017,RISK_INCREASE
site_1203,corr_ETP-TSS_ETP-pH,0.0103,RISK_INCREASE
site_1203,autocorrelation,0.2625,RISK_INCREASE
site_1203,missing_rate,0.0,NEUTRAL
site_1203,limit_hugging,-0.1434,RISK_DECREASE
site_1203,bdl_rate,0.0726,RISK_INCREASE
site_1203,duplicate_run_length,-1.0739,RISK_DECREASE
site_1203,cov_severity,0.0,NEUTRAL
site_1203,bod_cod_ratio,-0.0258,RISK_DECREASE
site_1203,bod_cod_ratio_volatility,-0.0201,RISK_DECREASE
site_1203,pre_inspection_dip_score,0.0476,RISK_INCREASE
site_1203,coordinated_missing_flag,-2.5956,RISK_DECREASE
site_1221,value,5.7056,RISK_INCREASE
site_1221,rolling_mean,2.6421,RISK_INCREASE
site_1221,rolling_std,0.2545,RISK_INCREASE
site_1221,rolling_cov,0.5291,RISK_INCREASE
site_1221,flatline_flag,2.3955,RISK_INCREASE
site_1221,corr_ETP-Flow_ETP-pH,5.1432,RISK_INCREASE
site_1221,corr_ETP-BOD_ETP-COD,-0.4796,RISK_DECREASE
site_1221,corr_ETP-BOD_ETP-Flow,0.0035,RISK_INCREASE
site_1221,corr_ETP-BOD_ETP-TSS,0.9496,RISK_INCREASE
site_1221,corr_ETP-BOD_ETP-pH,-0.0662,RISK_DECREASE
site_1221,corr_ETP-COD_ETP-Flow,0.0117,RISK_INCREASE
site_1221,corr_ETP-COD_ETP-TSS,0.599,RISK_INCREASE
site_1221,corr_ETP-COD_ETP-pH,-0.218,RISK_DECREASE
site_1221,corr_ETP-Flow_ETP-TSS,0.0014,RISK_INCREASE
site_1221,corr_ETP-TSS_ETP-pH,0.011,RISK_INCREASE
site_1221,autocorrelation,1.5062,RISK_INCREASE
site_1221,missing_rate,0.0,NEUTRAL
site_1221,limit_hugging,-0.0562,RISK_DECREASE
site_1221,bdl_rate,1.4001,RISK_INCREASE
site_1221,duplicate_run_length,2.1486,RISK_INCREASE
site_1221,cov_severity,0.0,NEUTRAL
site_1221,bod_cod_ratio,0.0535,RISK_INCREASE
site_1221,bod_cod_ratio_volatility,-0.0226,RISK_DECREASE
site_1221,pre_inspection_dip_score,0.117,RISK_INCREASE
site_1221,coordinated_missing_flag,-1.4603,RISK_DECREASE
site_1232,value,-3.4164,RISK_DECREASE
site_1232,rolling_mean,-1.4846,RISK_DECREASE
