factory_id,inspection_date,inspection_type,status
site_1569,2024-01-03,Medium Risk,Completed
site_1369,2024-01-11,High Risk,Completed
site_1200,2024-01-16,High Risk,Completed
site_1284,2024-01-18,Low Risk,Completed
site_1376,2024-01-19,High Risk,Completed
site_1787,2024-01-25,High Risk,Completed
site_1131,2024-01-30,Medium Risk,Completed
site_1668,2024-02-12,High Risk,Completed
site_1369,2024-02-13,High Risk,Completed
site_1281,2024-02-22,Medium Risk,Completed
site_1257,2024-02-27,High Risk,Completed
site_1310,2024-03-05,High Risk,Completed
site_1369,2024-03-14,High Risk,Completed
site_1369,2024-04-01,High Risk,Completed
site_1257,2024-04-24,High Risk,Completed
site_1905,2024-04-30,High Risk,Completed
site_1310,2024-06-12,High Risk,Completed
site_1369,2024-06-14,High Risk,Completed
site_1799,2024-06-25,High Risk,Completed
site_1569,2024-06-26,Medium Risk,Completed
site_1756,2024-06-27,High Risk,Completed
site_1285,2024-07-30,Medium Risk,Completed
site_1369,2024-09-04,High Risk,Completed
site_1787,2024-10-03,High Risk,Completed
site_1789,2024-10-09,High Risk,Completed
site_1280,2024-10-14,Medium Risk,Completed
site_1321,2024-10-28,Medium Risk,Completed
site_1247,2024-11-18,Medium Risk,Completed
site_1756,2024-12-06,High Risk,Completed
site_1787,2024-12-20,High Risk,Completed
site_1310,2024-12-24,High Risk,Completed
site_1756,2024-12-24,High Risk,Completed
site_887,2024-12-26,High Risk,Completed
site_1257,2024-12-27,High Risk,Completed
site_1369,2024-12-31,High Risk,Completed
site_1561,2024-01-31,High Risk,Scheduled
site_1561,2024-02-01,High Risk,Scheduled
site_1561,2024-03-04,Low Risk,Scheduled
site_1561,2024-03-15,High Risk,Scheduled
site_1561,2024-04-02,High Risk,Completed
site_1561,2024-06-10,High Risk,Completed
site_1561,2024-06-21,High Risk,Completed
site_1561,2024-07-30,High Risk,Scheduled
site_1561,2024-11-27,High Risk,Scheduled
site_1561,2024-12-18,High Risk,Scheduled
