rank,factory_id,tsi_score,risk_tier,anomaly_score,flatline_rate,autocorr_high_rate,dup_run_rate,limit_hugging_mean,impossible_val_rate,bdl_rate_mean,cov_high_rate,bod_cod_vol_mean,pre_dip_mean,coordinated_missing_flag
1,site_1569,100.0,High,0.4905104358191118,0.9986817325800377,0.0,0.9992467043314501,0.0,,0.0,0.0,,0.0,1.0
2,site_1203,83.03,High,0.4946915745048701,0.9992600694891263,0.0,0.9995496075151203,0.0,,0.0,0.000514734268433921,,0.0,0.0
3,site_1167,81.31,High,0.4914399031316339,0.9990849673202614,0.0,0.9994771241830065,0.0,,0.0,0.0,,0.0,0.0
4,site_1909,71.07,High,0.44301028121679326,0.5653558571032955,0.08058709498753808,0.5998338410412628,0.008723345333702575,0.0,0.0,0.0011077263915812794,,0.0,1.0
5,site_1799,68.89,High,0.39294090329643305,0.8005364447126668,0.012378461744786427,0.8460403674646282,0.06608998860054986,0.002013275032243858,0.0,0.006665325554885,0.00031261158177937236,0.22033643091163346,0.0
6,site_1200,57.93,Medium,0.4301900558164314,0.8626550160646188,0.04158784493889439,0.8867069032819866,0.0,,0.0,0.052277572591057864,,-0.020544780344280957,0.0
7,site_1264,57.13,Medium,0.3995823291386582,0.5681126940931647,0.11363168606645475,0.6448581033181642,0.007866633126757987,0.0,0.0,0.004070525280706168,,0.0,1.0
8,site_1905,53.59,Medium,0.42173421127027966,0.8432305544981601,0.008120796853191219,0.8876411622890497,0.0,,0.0,0.12270016495368608,,-0.05659130748367277,0.0
9,site_1247,52.41,Medium,0.39380901794214945,0.9767683772538142,0.0,0.9839343504392049,0.0,,0.0,0.021035598705501618,,0.00948671340972104,1.0
10,site_1285,52.02,Medium,0.4321225740963408,0.48640477639184665,0.08638195923334348,0.522836172801947,0.0,0.0002967107494065785,0.0,0.05460906601764527,,0.02040037454144863,0.0
11,site_2070,51.62,Medium,0.4470314651879208,0.8676207513416816,0.0,0.9033989266547406,0.0,0.0,0.0,0.007155635062611807,,0.0,0.0
12,site_887,49.04,Medium,0.4274279342067214,0.26854254422914914,0.007806795843864083,0.26348778433024433,0.02373490592530188,0.0,0.004425723111485538,0.007795563044088739,0.04757790749081493,0.7580920659038844,1.0
13,site_1256,44.88,Medium,0.4727454298442373,0.40973111395646605,0.002560819462227913,0.4910371318822023,0.0,0.0,0.0,0.03265044814340589,,0.0,0.0
14,site_982,43.35,Low,0.41113232641455955,0.9669595782073813,0.025043936731107205,0.9793497363796133,0.0,,0.0,0.01546572934973638,0.00042275632156255424,0.0,0.0
15,site_1561,37.44,Low,0.4183252184713295,0.42718712029161604,6.075334143377886e-05,0.5765795868772783,0.008778857837181044,0.0,0.049635479951397325,0.00318955042527339,,0.9279541010437227,0.0
16,site_1138,37.38,Low,0.5049630501814121,0.0,0.0,0.08333333333333333,0.0,,0.0,0.0,,0.0,0.0
