id,consent_id,factory_id,parameter,minimum_limit,maximum_limit,unit,condition_text,page_number,table_number,extraction_confidence,created_at,proxy_source_factory_id
106,13,site_1310,Trade effluent,,0.0,mg/l,0.0,1,2,0.95,2026-07-05 22:58:53.254931+05:30,
107,13,site_1310,Suspended Solids,,50.0,mg/l,50,4,1,0.95,2026-07-05 22:58:53.254931+05:30,
108,13,site_1310,BOD 3 days 27oC,,30.0,mg/l,30,4,1,0.95,2026-07-05 22:58:53.254931+05:30,
109,13,site_1310,COD,,100.0,mg/l,100,4,1,0.95,2026-07-05 22:58:53.254931+05:30,
110,13,site_1310,TPM,,3.0,mg/l,H.S.D 5.0 -- NA--,5,1,0.95,2026-07-05 22:58:53.254931+05:30,
111,13,site_1310,Total Particulate Matter,,150.0,mg/Nm3,150 mg/ Nm3,5,2,0.95,2026-07-05 22:58:53.254931+05:30,
998,85,site_1561,Trade effluent,,100.0,mg/l,Recycle 100% to achieve ZLD,2,1,0.95,2026-07-12 09:38:41.841124+05:30,
999,85,site_1561,Suspended Solids,,100.0,mg/l,100,4,1,0.95,2026-07-12 09:38:41.841124+05:30,
1000,85,site_1561,BOD 3 days 27oC,,30.0,mg/l,30,4,1,0.95,2026-07-12 09:38:41.841124+05:30,
1001,85,site_1561,TPM,,150.0,mg/Nm3,150 Mg/Nm3,6,1,0.95,2026-07-12 09:38:41.841124+05:30,
1002,85,site_1561,SO2,,72.0,mg/Nm3,72 Kg/Day,6,1,0.95,2026-07-12 09:38:41.841124+05:30,
1003,85,site_1561,TPM,,150.0,mg/Nm3,150 Mg/Nm3,6,1,0.95,2026-07-12 09:38:41.841124+05:30,
1004,85,site_1561,TPM,,150.0,mg/Nm3,150 Mg/Nm3,6,1,0.95,2026-07-12 09:38:41.841124+05:30,
1005,85,site_1561,SO2,,22.0,mg/Nm3,22 Kg/Day,6,1,0.95,2026-07-12 09:38:41.841124+05:30,
1006,85,site_1561,TPM,,150.0,mg/Nm3,150 Mg/Nm3,6,1,0.95,2026-07-12 09:38:41.841124+05:30,
1007,85,site_1561,SO2,,39.6,mg/Nm3,39.6 Kg/Day,6,1,0.95,2026-07-12 09:38:41.841124+05:30,
122,16,site_1257,"Storage, Repacking & sale of Ammonium Chloride",,8400.0,mg/l,8400,2,1,0.95,2026-07-06 10:36:21.958528+05:30,
123,16,site_1257,Trade effluent,,0.0,mg/l,0,2,2,0.95,2026-07-06 10:36:21.958528+05:30,
124,18,site_1257,Trade effluent,,100.0,mg/l,Recycle 100% to achieve ZLD,3,2,0.95,2026-07-06 10:51:25.201233+05:30,
125,18,site_1257,TPM,,50.0,mg/Nm3,50 Mg/Nm3,8,1,0.95,2026-07-06 10:51:25.201233+05:30,
126,18,site_1257,SO2,,28.8,mg/Nm3,28.8 Kg/Day,8,1,0.95,2026-07-06 10:51:25.201233+05:30,
127,19,site_887,Trade effluent,,0.0,mg/l,0.0,1,2,0.95,2026-07-06 10:51:27.093344+05:30,
128,19,site_887,Suspended Solids,,50.0,mg/l,50,4,1,0.95,2026-07-06 10:51:27.093344+05:30,
129,19,site_887,BOD 3 days 27oC,,30.0,mg/l,30,4,1,0.95,2026-07-06 10:51:27.093344+05:30,
130,19,site_887,COD,,100.0,mg/l,100,4,1,0.95,2026-07-06 10:51:27.093344+05:30,
131,19,site_887,Total Particulate Matter,,100.0,mg/Nm3,100 mg/ Nm3,5,2,0.95,2026-07-06 10:51:27.093344+05:30,
132,20,site_1247,Trade effluent,,100.0,mg/l,Recycle 100% to achieve ZLD,2,1,0.95,2026-07-06 10:52:44.820819+05:30,
133,20,site_1247,Suspended Solids,,50.0,mg/l,50,4,1,0.95,2026-07-06 10:52:44.820819+05:30,
134,20,site_1247,BOD 3 days 27oC,,30.0,mg/l,30,4,1,0.95,2026-07-06 10:52:44.820819+05:30,
135,20,site_1247,COD,,100.0,mg/l,100,4,1,0.95,2026-07-06 10:52:44.820819+05:30,
136,21,site_1799,Trade effluent,,50.0,mg/l,50% recycle & remaining discharge to CETP,2,2,0.95,2026-07-06 10:54:22.117211+05:30,
137,21,site_1799,35.4 Oil and grease skimming,,36.0,mg/l,36.0,3,1,0.95,2026-07-06 10:54:22.117211+05:30,
138,21,site_1799,pH,5.5,8.5,pH,5.5 to 8.5,5,1,0.95,2026-07-06 10:54:22.117211+05:30,
139,21,site_1799,Oil & Grease,,10.0,mg/l,10 mg/l,5,1,0.95,2026-07-06 10:54:22.117211+05:30,
140,21,site_1799,BOD (3 days 27oC ),,30.0,mg/l,30 mg/l,5,1,0.95,2026-07-06 10:54:22.117211+05:30,
141,21,site_1799,Total Suspended solids,,100.0,mg/l,100 mg/l,5,1,0.95,2026-07-06 10:54:22.117211+05:30,
142,21,site_1799,Phosphate,,5.0,mg/l,5.0 mg/l,5,1,0.95,2026-07-06 10:54:22.117211+05:30,
143,21,site_1799,BOD (3 days 27oC ),,30.0,mg/l,30 mg/l,5,2,0.95,2026-07-06 10:54:22.117211+05:30,
144,21,site_1799,Total Suspended solids,,100.0,mg/l,100 mg/l,5,2,0.95,2026-07-06 10:54:22.117211+05:30,
145,21,site_1799,TPM,,50.0,mg/Nm3,50 Mg/Nm3,7,1,0.95,2026-07-06 10:54:22.117211+05:30,
146,21,site_1799,SO2,,15.3,mg/Nm3,15.3 Kg/Day,7,1,0.95,2026-07-06 10:54:22.117211+05:30,
147,22,site_1376,Trade effluent,,0.0,mg/l,0.0,1,2,0.95,2026-07-06 10:54:25.177231+05:30,
148,22,site_1376,Suspended Solids,,50.0,mg/l,50,4,1,0.95,2026-07-06 10:54:25.177231+05:30,
149,22,site_1376,BOD 3 days 27oC,,30.0,mg/l,30,4,1,0.95,2026-07-06 10:54:25.177231+05:30,
150,22,site_1376,TPM,,150.0,mg/Nm3,150 Mg/Nm3,5,1,0.95,2026-07-06 10:54:25.177231+05:30,
151,22,site_1376,SO2,,10.0,mg/Nm3,10 Kg/Day,5,1,0.95,2026-07-06 10:54:25.177231+05:30,
152,23,site_982,Trade effluent,,780.0,mg/l,Monsoon period = 780 CMD- recycled & remaining 469 CMD- discharged into Amba River Estuary and Non-monsoon = 686 CMD - recycled & remaining-563 CMD used on land for gardening,2,1,0.95,2026-07-06 10:54:30.245352+05:30,
