id,factory_id,factory_name,consent_number,consent_type,issue_date,valid_from,valid_until,industry,pdf_path,source_url,downloaded_at,created_at,cto_status
85,site_1561,GRASIM INDUSTRIES LIMITED,MPCB-CONSENT-0000261509,Renewal Of Consent,2026-01-28,2026-01-28,2030-12-31,Chemical,consents\Kalyan\GRASIM_INDUSTRIES_LIMITED\CTO_MPCB-CONSENT-0000261509.pdf,https://blockchain.ecmpcb.in/docs/18c726aeff37a2705ae6b833640985dd0e8a58b61509933508efa43699bb657a,2026-07-12 09:38:41.841124+05:30,2026-07-12 09:38:41.841124+05:30,EXTRACTED
96,site_1131,RUPA ORGANICS PVT LTD. Taloja,MPCB-CONSENT-0000284643,Cto,2026-04-08,2026-04-08,2033-06-30,Chemical,consents\Taloja\RUPA_ORGANICS_PVT_LTD__Taloja\CTO_MPCB-CONSENT-0000284643.pdf,https://www.ecmpcb.in/cms,2026-07-12 11:03:30.139407+05:30,2026-07-12 11:03:30.139407+05:30,EXTRACTED
100,site_1167,Super Petroleum Products Private Limited,ESTIMATED_PROXY_site_1167,,,,,,,,2026-07-12 11:17:04.518296+05:30,2026-07-12 11:17:04.518296+05:30,ESTIMATED_PROXY
101,site_1203,Anmol Chemicals Pvt. Ltd,ESTIMATED_PROXY_site_1203,,,,,,,,2026-07-12 11:17:04.518296+05:30,2026-07-12 11:17:04.518296+05:30,ESTIMATED_PROXY
102,site_1280,EKVIRA FINE CHEM PVT LTD,ESTIMATED_PROXY_site_1280,,,,,,,,2026-07-12 11:17:04.518296+05:30,2026-07-12 11:17:04.518296+05:30,ESTIMATED_PROXY
103,site_1232,M/s.Altaroma Chemicals Pvt Ltd,ESTIMATED_PROXY_site_1232,,,,,,,,2026-07-12 11:17:04.518296+05:30,2026-07-12 11:17:04.518296+05:30,ESTIMATED_PROXY
104,site_1285,VVL Pharma Pvt Ltd,ESTIMATED_PROXY_site_1285,,,,,,,,2026-07-12 11:17:04.518296+05:30,2026-07-12 11:17:04.518296+05:30,ESTIMATED_PROXY
105,site_1259,EUROCHEM INDUSTRIES,ESTIMATED_PROXY_site_1259,,,,,,,,2026-07-12 11:17:04.518296+05:30,2026-07-12 11:17:04.518296+05:30,ESTIMATED_PROXY
106,site_1581,M/s Memba Chem Industries Private Limited,ESTIMATED_PROXY_site_1581,,,,,,,,2026-07-12 11:17:04.518296+05:30,2026-07-12 11:17:04.518296+05:30,ESTIMATED_PROXY
16,site_1257,Dorf Ketal Chemicals India Pvt Ltd,MPCB-CONSENT-0000225195,Consent To Establish,2025-03-08,2025-03-08,2026-03-31,Chemical,consents\Taloja\Dorf_Ketal_Chemicals_India_Pvt_Ltd\CTO_MPCB-CONSENT-0000225195.pdf,https://blockchain.ecmpcb.in/docs/0b8342bb299598ba339c32fe23ea4c7609c10d5c2fd23cc9c15d1ef5e4593f54,2026-07-06 10:36:20.678435+05:30,2026-07-06 10:36:20.678435+05:30,EXTRACTED
20,site_1247,Ducol Organics & Colours Pvt Ltd,MPCB-CONSENT-0000276347,Cto,2026-02-25,2026-02-25,2031-06-30,Chemical,consents\Taloja\Ducol_Organics___Colours_Pvt_Ltd\CTO_MPCB-CONSENT-0000276347.pdf,https://blockchain.ecmpcb.in/docs/f13d267adf4b8c3f5f3a74781042e0e32636218897ecb1a67168553f4d484b1a,2026-07-06 10:52:43.13189+05:30,2026-07-06 10:52:43.13189+05:30,EXTRACTED
28,site_1264,Imagico India Pvt Ltd,MPCB-CONSENT-0000137011,Cto,2022-05-18,2022-05-18,2022-05-18,Chemical,consents\Taloja\Imagico_India_Pvt_Ltd\CTO_MPCB-CONSENT-0000137011.pdf,https://blockchain.ecmpcb.in/docs/8daf37e64f6fd2ba3e57e94e4e5bf0d7fa7b0097b4a1862fb21d29ca510becd0,2026-07-06 11:03:06.477087+05:30,2026-07-06 11:03:06.477087+05:30,EXTRACTED
13,site_1310,Aezis Global Pvt Ltd,MPCB-CONSENT-0000252627,Cto,2025-08-12,2025-08-12,2027-04-30,Chemical,consents\Mahad\Aezis_Global_Pvt_Ltd\CTO_MPCB-CONSENT-0000252627.pdf,https://www.ecmpcb.in/cms,2026-07-05 22:58:52.294917+05:30,2026-07-05 22:58:52.294917+05:30,EXTRACTED
86,site_1787,SHREE HARI CHEMICALS EXPORT LIMITED,MPCB-CONSENT-0000261348,Renewal Of Consent,2025-12-30,2025-12-30,2025-12-31,Chemical,consents\Mahad\SHREE_HARI_CHEMICALS_EXPORT_LIMITED\CTO_MPCB-CONSENT-0000261348.pdf,https://blockchain.ecmpcb.in/docs/af99294d912948d6e13cdcfd8c38adf6c8c571b050cb42edcc23c1bd2ed347fb,2026-07-12 09:41:56.351293+05:30,2026-07-12 09:41:56.351293+05:30,EXTRACTED
88,site_1221,Zirconium Chemicals Pvt. Ltd,MPCB-CONSENT-0000151904,Renewal Of Consent,2023-01-06,2023-01-06,2027-12-31,Chemical,consents\Taloja\Zirconium_Chemicals_Pvt__Ltd\CTO_MPCB-CONSENT-0000151904.pdf,https://blockchain.ecmpcb.in/docs/ffc423a6bf0d762413adedee872385a6fac5bc4241e94a0a3b701a5e04a6789e,2026-07-12 09:56:25.378713+05:30,2026-07-12 09:56:25.378713+05:30,EXTRACTED
87,site_1756,M/s. Aquapharm Chemicals Pvt. Ltd.,MPCB-CONSENT-0000257756,Consent To Operate,2026-03-23,2026-03-23,2029-08-31,Chemical,consents\Mahad\M_s__Aquapharm_Chemicals_Pvt__Ltd\CTO_MPCB-CONSENT-0000257756.pdf,https://www.ecmpcb.in/cms,2026-07-12 09:41:59.655146+05:30,2026-07-12 09:41:59.655146+05:30,EXTRACTED
