id,factory_id,missing_records,missing_percentage,missing_days,missing_intervals,longest_missing_duration,avg_gap_duration,largest_continuous_online,largest_continuous_offline,outage_count,gap_distribution,created_at,updated_at
8,site_1787,975,2.77,10.16,975,24.5,147.95454545454547,8540.683200000001,24.5,30,"{""0-15m"": 34050, ""15m-1h"": 68, ""1h-6h"": 31, ""6h-24h"": 10, "">24h"": 1}",2026-07-07 07:31:24.719034+05:30,2026-07-07 07:31:24.719034+05:30
16,site_1310,7396,21.05,77.04,7396,1607,3977.1428571428573,6934.968,1607,11,"{""0-15m"": 27711, ""15m-1h"": 12, ""1h-6h"": 10, ""6h-24h"": 2, "">24h"": 4}",2026-07-07 07:31:29.823523+05:30,2026-07-07 07:31:29.823523+05:30
17,site_982,524,4.4,1.36,524,11.5,211.5,711.264,11.5,24,"{""0-15m"": 11369, ""15m-1h"": 1, ""1h-6h"": 7, ""6h-24h"": 2, "">24h"": 0}",2026-07-07 07:31:30.575515+05:30,2026-07-07 07:31:30.575515+05:30
21,site_1905,7993,33.65,83.26,7993,884.5,1532.6582278481012,3949.152,884.5,37,"{""0-15m"": 15682, ""15m-1h"": 29, ""1h-6h"": 33, ""6h-24h"": 12, "">24h"": 5}",2026-07-07 07:31:33.103538+05:30,2026-07-07 07:31:33.103538+05:30
24,site_1280,5330,15.22,55.52,5330,167.25,748.4862385321101,7426.728,167.25,57,"{""0-15m"": 29576, ""15m-1h"": 38, ""1h-6h"": 27, ""6h-24h"": 27, "">24h"": 17}",2026-07-07 07:31:34.433907+05:30,2026-07-07 07:31:34.433907+05:30
27,site_1569,258,4.63,2.69,258,1.75,39.49367088607595,1327.5504,1.75,0,"{""0-15m"": 5151, ""15m-1h"": 150, ""1h-6h"": 8, ""6h-24h"": 0, "">24h"": 0}",2026-07-07 07:31:36.584569+05:30,2026-07-07 07:31:36.584569+05:30
28,site_1247,9180,26.13,95.62,9180,1355.5,1090.78125,6488.7408000000005,1355.5,27,"{""0-15m"": 25827, ""15m-1h"": 76, ""1h-6h"": 42, ""6h-24h"": 8, "">24h"": 2}",2026-07-07 07:31:36.796117+05:30,2026-07-07 07:31:36.796117+05:30
2,site_1799,101115,57.56,210.66,101115,744.25,512.0792079207921,3727.9296,744.25,137,"{""0-15m"": 74463, ""15m-1h"": 25, ""1h-6h"": 49, ""6h-24h"": 21, "">24h"": 6}",2026-07-07 07:31:19.420944+05:30,2026-07-11 10:30:05.1722+05:30
3,site_1232,9892,14.8,51.52,9892,360,189.97641509433961,7115.9039999999995,360,176,"{""0-15m"": 56499, ""15m-1h"": 284, ""1h-6h"": 112, ""6h-24h"": 21, "">24h"": 7}",2026-07-07 07:31:20.40165+05:30,2026-07-11 10:30:06.887573+05:30
4,site_1369,88223,50.22,183.8,88223,1356.5,126.63250366032212,4372.675200000001,1356.5,66,"{""0-15m"": 86773, ""15m-1h"": 480, ""1h-6h"": 195, ""6h-24h"": 1, "">24h"": 7}",2026-07-07 07:31:21.058857+05:30,2026-07-11 10:30:08.023112+05:30
