id,factory_id,earliest_reading,latest_reading,monitoring_duration,avg_interval,expected_interval,max_interval,min_interval,timestamp_consistency,weekend_coverage,weekday_coverage,monthly_coverage,hourly_coverage,night_coverage,business_hours_coverage,created_at,updated_at
8,site_1787,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,15,15,1470,15,100,96.44524134790528,97.53699908925319,"{""1"": 8.51, ""2"": 8.14, ""3"": 8.52, ""4"": 8.23, ""5"": 7.91, ""6"": 8.12, ""7"": 8.62, ""8"": 8.65, ""9"": 8.28, ""10"": 8.26, ""11"": 8.38, ""12"": 8.4}","{""0"": 4.18, ""1"": 4.17, ""2"": 4.19, ""3"": 4.19, ""4"": 4.19, ""5"": 4.17, ""6"": 4.17, ""7"": 4.15, ""8"": 4.11, ""9"": 4.11, ""10"": 4.12, ""11"": 4.15, ""12"": 4.16, ""13"": 4.18, ""14"": 4.21, ""15"": 4.2, ""16"": 4.18, ""17"": 4.19, ""18"": 4.16, ""19"": 4.19, ""20"": 4.15, ""21"": 4.17, ""22"": 4.16, ""23"": 4.15}",97.4214480874317,97.22222222222221,2026-07-07 07:31:24.719034+05:30,2026-07-07 07:31:24.719034+05:30
2,site_1799,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,15,15,44655,0,100,43.606557377049185,41.978483606557376,"{""1"": 3.27, ""2"": 3.71, ""3"": 18.82, ""4"": 15.56, ""5"": 2.94, ""6"": 17.71, ""7"": 3.96, ""8"": 19.62, ""9"": 2.95, ""10"": 3.71, ""11"": 3.86, ""12"": 3.89}","{""0"": 4.24, ""1"": 4.25, ""2"": 4.15, ""3"": 4.13, ""4"": 4.13, ""5"": 4.12, ""6"": 4.14, ""7"": 4.17, ""8"": 4.15, ""9"": 4.15, ""10"": 4.15, ""11"": 4.22, ""12"": 4.21, ""13"": 4.2, ""14"": 4.22, ""15"": 4.21, ""16"": 4.22, ""17"": 4.16, ""18"": 4.13, ""19"": 4.14, ""20"": 4.13, ""21"": 4.13, ""22"": 4.11, ""23"": 4.14}",42.3650956284153,42.729204614450516,2026-07-07 07:31:19.420944+05:30,2026-07-11 10:30:05.1722+05:30
3,site_1232,2024-01-01 00:00:00,2024-12-13 23:45:00,347.99,15,15,21600,0,100,82.06267959770115,86.44815613026819,"{""1"": 10.37, ""2"": 9.36, ""3"": 9.87, ""4"": 9.34, ""5"": 9.15, ""6"": 6.42, ""7"": 6.66, ""8"": 10.21, ""9"": 4.51, ""10"": 9.77, ""11"": 10.03, ""12"": 4.31}","{""0"": 4.29, ""1"": 4.28, ""2"": 4.31, ""3"": 4.33, ""4"": 4.33, ""5"": 4.33, ""6"": 4.25, ""7"": 4.24, ""8"": 4.17, ""9"": 4.11, ""10"": 4.1, ""11"": 3.91, ""12"": 3.94, ""13"": 3.98, ""14"": 4.03, ""15"": 4.01, ""16"": 4.04, ""17"": 4.05, ""18"": 4.12, ""19"": 4.2, ""20"": 4.18, ""21"": 4.24, ""22"": 4.27, ""23"": 4.25}",87.94001436781609,82.18390804597702,2026-07-07 07:31:20.40165+05:30,2026-07-11 10:30:06.887573+05:30
4,site_1369,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,15,15,81390,0,100,49.11714480874318,50.04792805100182,"{""1"": 17.01, ""2"": 3.18, ""3"": 17.01, ""4"": 3.86, ""5"": 2.71, ""6"": 14.6, ""7"": 3.2, ""8"": 15.5, ""9"": 3.06, ""10"": 14.21, ""11"": 2.66, ""12"": 2.98}","{""0"": 4.11, ""1"": 4.13, ""2"": 4.18, ""3"": 4.15, ""4"": 4.16, ""5"": 4.17, ""6"": 4.19, ""7"": 4.13, ""8"": 4.16, ""9"": 4.14, ""10"": 4.14, ""11"": 4.1, ""12"": 4.15, ""13"": 4.15, ""14"": 4.13, ""15"": 4.15, ""16"": 4.21, ""17"": 4.3, ""18"": 4.23, ""19"": 4.17, ""20"": 4.19, ""21"": 4.25, ""22"": 4.19, ""23"": 4.12}",49.595286885245905,49.75409836065573,2026-07-07 07:31:21.058857+05:30,2026-07-11 10:30:08.023112+05:30
6,site_1256,2024-11-14 12:30:00,2024-12-07 11:30:00,22.96,15,15,21285,0,100,26.190476190476193,39.111111111111114,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 26.76, ""12"": 73.24}","{""0"": 4.1, ""1"": 4.1, ""2"": 4.1, ""3"": 4.1, ""4"": 4.1, ""5"": 4.1, ""6"": 4.1, ""7"": 4.1, ""8"": 4.1, ""9"": 4.1, ""10"": 4.1, ""11"": 4.35, ""12"": 4.35, ""13"": 4.61, ""14"": 4.61, ""15"": 4.1, ""16"": 4.23, ""17"": 4.1, ""18"": 4.1, ""19"": 4.1, ""20"": 4.1, ""21"": 4.1, ""22"": 4.1, ""23"": 4.1}",34.82993197278911,36.402116402116405,2026-07-07 07:31:23.332464+05:30,2026-07-11 10:30:16.432163+05:30
7,site_1376,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,15,15,87855,0,100,53.701331967213115,52.37568306010929,"{""1"": 3.21, ""2"": 3.0, ""3"": 15.61, ""4"": 2.81, ""5"": 3.01, ""6"": 14.85, ""7"": 3.21, ""8"": 16.02, ""9"": 3.1, ""10"": 16.04, ""11"": 3.1, ""12"": 16.04}","{""0"": 4.18, ""1"": 4.18, ""2"": 4.18, ""3"": 4.19, ""4"": 4.18, ""5"": 4.18, ""6"": 4.18, ""7"": 4.19, ""8"": 4.19, ""9"": 4.19, ""10"": 4.18, ""11"": 4.17, ""12"": 4.14, ""13"": 4.16, ""14"": 4.16, ""15"": 4.16, ""16"": 4.15, ""17"": 4.15, ""18"": 4.16, ""19"": 4.14, ""20"": 4.14, ""21"": 4.15, ""22"": 4.15, ""23"": 4.16}",52.87226775956284,52.68518518518519,2026-07-07 07:31:23.424324+05:30,2026-07-11 10:30:16.543333+05:30
9,site_1756,2024-01-01 00:00:00,2024-12-31 23:30:00,365.98,15,15,174255,0,100,30.20748541340544,29.005720791233813,"{""1"": 28.06, ""2"": 5.37, ""3"": 5.69, ""4"": 5.48, ""5"": 5.33, ""6"": 25.51, ""7"": 4.35, ""8"": 4.51, ""9"": 2.97, ""10"": 4.88, ""11"": 4.47, ""12"": 3.38}","{""0"": 4.01, ""1"": 4.05, ""2"": 4.12, ""3"": 4.23, ""4"": 4.25, ""5"": 4.28, ""6"": 4.18, ""7"": 4.14, ""8"": 4.21, ""9"": 4.1, ""10"": 4.1, ""11"": 4.16, ""12"": 4.2, ""13"": 4.24, ""14"": 4.22, ""15"": 4.2, ""16"": 4.23, ""17"": 4.2, ""18"": 4.16, ""19"": 4.16, ""20"": 4.18, ""21"": 4.17, ""22"": 4.15, ""23"": 4.06}",29.182866087946497,29.469569754755465,2026-07-07 07:31:25.570699+05:30,2026-07-11 10:30:21.869056+05:30
10,site_1221,2024-01-03 06:45:00,2024-12-31 23:45:00,363.71,15,15,5700,0,100,92.43921299080678,90.50262050004295,"{""1"": 8.46, ""2"": 8.45, ""3"": 9.02, ""4"": 8.68, ""5"": 7.45, ""6"": 7.17, ""7"": 8.47, ""8"": 8.96, ""9"": 8.74, ""10"": 8.83, ""11"": 8.44, ""12"": 7.33}","{""0"": 4.25, ""1"": 4.27, ""2"": 4.25, ""3"": 4.27, ""4"": 4.27, ""5"": 4.28, ""6"": 4.22, ""7"": 4.13, ""8"": 4.04, ""9"": 4.07, ""10"": 4.07, ""11"": 4.06, ""12"": 4.07, ""13"": 4.04, ""14"": 4.1, ""15"": 4.14, ""16"": 4.11, ""17"": 4.1, ""18"": 4.17, ""19"": 4.21, ""20"": 4.21, ""21"": 4.21, ""22"": 4.23, ""23"": 4.21}",92.98049660623765,89.27838397724128,2026-07-07 07:31:26.301106+05:30,2026-07-11 10:30:32.34121+05:30
11,site_1581,2024-01-05 13:45:00,2024-12-12 13:45:00,342,15,15,214515,0,100,0.3091401943166936,0.4605122894648676,"{""1"": 88.32, ""2"": 0.0, ""3"": 1.46, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 9.49, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.73}","{""0"": 2.19, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.73, ""7"": 5.84, ""8"": 5.84, ""9"": 5.84, ""10"": 8.03, ""11"": 4.38, ""12"": 7.3, ""13"": 7.3, ""14"": 5.11, ""15"": 4.38, ""16"": 3.65, ""17"": 8.03, ""18"": 8.76, ""19"": 8.76, ""20"": 5.11, ""21"": 2.92, ""22"": 2.92, ""23"": 2.92}",0.10050863460542747,0.6010213301657885,2026-07-07 07:31:27.064733+05:30,2026-07-11 10:30:34.780019+05:30
12,site_1264,2024-01-01 00:00:00,2024-12-31 23:45:00,365.99,15,15,122415,0,100,62.248121584699454,62.22620673952641,"{""1"": 6.81, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 1.07, ""6"": 12.77, ""7"": 13.22, ""8"": 13.2, ""9"": 13.07, ""10"": 13.43, ""11"": 12.86, ""12"": 13.57}","{""0"": 4.23, ""1"": 4.22, ""2"": 4.2, ""3"": 4.18, ""4"": 4.2, ""5"": 4.2, ""6"": 4.18, ""7"": 4.18, ""8"": 4.19, ""9"": 4.21, ""10"": 4.14, ""11"": 4.08, ""12"": 4.07, ""13"": 4.05, ""14"": 4.04, ""15"": 4.08, ""16"": 4.1, ""17"": 4.12, ""18"": 4.17, ""19"": 4.18, ""20"": 4.23, ""21"": 4.26, ""22"": 4.25, ""23"": 4.22}",62.935450819672134,61.224954462659376,2026-07-07 07:31:27.14126+05:30,2026-07-11 10:30:34.862455+05:30
