id,factory_id,parameter_id,row_count,started_at,finished_at,status,error_message,created_at
1,site_1799,ETP-COD,10694,2026-07-04 22:57:45.342726+05:30,2026-07-04 22:57:45.342726+05:30,SUCCESS,,2026-07-04 22:57:45.342726+05:30
2,site_1799,ETP-BOD,10694,2026-07-04 22:57:45.35048+05:30,2026-07-04 22:57:45.35048+05:30,SUCCESS,,2026-07-04 22:57:45.35048+05:30
3,site_1799,ETP-TSS,10694,2026-07-04 22:57:45.35077+05:30,2026-07-04 22:57:45.35077+05:30,SUCCESS,,2026-07-04 22:57:45.35077+05:30
4,site_1799,ETP-Flow,10694,2026-07-04 22:57:45.350982+05:30,2026-07-04 22:57:45.350982+05:30,SUCCESS,,2026-07-04 22:57:45.350982+05:30
5,site_1232,ETP-Flow,28462,2026-07-04 22:57:45.351176+05:30,2026-07-04 22:57:45.351176+05:30,SUCCESS,,2026-07-04 22:57:45.351176+05:30
6,site_1369,ETP-COD,14451,2026-07-04 22:57:45.351381+05:30,2026-07-04 22:57:45.351381+05:30,SUCCESS,,2026-07-04 22:57:45.351381+05:30
7,site_1369,ETP-BOD,14376,2026-07-04 22:57:45.351569+05:30,2026-07-04 22:57:45.351569+05:30,SUCCESS,,2026-07-04 22:57:45.351569+05:30
8,site_1369,ETP-TSS,14451,2026-07-04 22:57:45.351733+05:30,2026-07-04 22:57:45.351733+05:30,SUCCESS,,2026-07-04 22:57:45.351733+05:30
9,site_1369,ETP-Flow,14169,2026-07-04 22:57:45.351894+05:30,2026-07-04 22:57:45.351894+05:30,SUCCESS,,2026-07-04 22:57:45.351894+05:30
10,site_1167,ETP-Flow,7650,2026-07-04 22:57:45.352054+05:30,2026-07-04 22:57:45.352054+05:30,SUCCESS,,2026-07-04 22:57:45.352054+05:30
11,site_1131,ETP-Flow,31048,2026-07-04 22:57:45.352212+05:30,2026-07-04 22:57:45.352212+05:30,SUCCESS,,2026-07-04 22:57:45.352212+05:30
12,site_1256,ETP-Flow,781,2026-07-04 22:57:45.35238+05:30,2026-07-04 22:57:45.35238+05:30,SUCCESS,,2026-07-04 22:57:45.35238+05:30
13,site_1376,ETP-COD,14734,2026-07-04 22:57:45.352541+05:30,2026-07-04 22:57:45.352541+05:30,SUCCESS,,2026-07-04 22:57:45.352541+05:30
14,site_1376,ETP-BOD,14734,2026-07-04 22:57:45.352703+05:30,2026-07-04 22:57:45.352703+05:30,SUCCESS,,2026-07-04 22:57:45.352703+05:30
15,site_1376,ETP-TSS,14734,2026-07-04 22:57:45.352862+05:30,2026-07-04 22:57:45.352862+05:30,SUCCESS,,2026-07-04 22:57:45.352862+05:30
16,site_1376,ETP-Flow,13875,2026-07-04 22:57:45.353019+05:30,2026-07-04 22:57:45.353019+05:30,SUCCESS,,2026-07-04 22:57:45.353019+05:30
17,site_1787,ETP-Flow,34161,2026-07-04 22:57:45.353176+05:30,2026-07-04 22:57:45.353176+05:30,SUCCESS,,2026-07-04 22:57:45.353176+05:30
18,site_1756,ETP-COD,5525,2026-07-04 22:57:45.353338+05:30,2026-07-04 22:57:45.353338+05:30,SUCCESS,,2026-07-04 22:57:45.353338+05:30
19,site_1756,ETP-BOD,5525,2026-07-04 22:57:45.353495+05:30,2026-07-04 22:57:45.353495+05:30,SUCCESS,,2026-07-04 22:57:45.353495+05:30
20,site_1756,ETP-TSS,5525,2026-07-04 22:57:45.353651+05:30,2026-07-04 22:57:45.353651+05:30,SUCCESS,,2026-07-04 22:57:45.353651+05:30
21,site_1756,ETP-Flow,5525,2026-07-04 22:57:45.353809+05:30,2026-07-04 22:57:45.353809+05:30,SUCCESS,,2026-07-04 22:57:45.353809+05:30
22,site_1221,ETP-Flow,31794,2026-07-04 22:57:45.353968+05:30,2026-07-04 22:57:45.353968+05:30,SUCCESS,,2026-07-04 22:57:45.353968+05:30
23,site_1581,ETP-Flow,137,2026-07-04 22:57:45.354126+05:30,2026-07-04 22:57:45.354126+05:30,SUCCESS,,2026-07-04 22:57:45.354126+05:30
24,site_1264,ETP-Flow,21866,2026-07-04 22:57:45.354285+05:30,2026-07-04 22:57:45.354285+05:30,SUCCESS,,2026-07-04 22:57:45.354285+05:30
25,site_1909,ETP-Flow,3612,2026-07-04 22:57:45.354493+05:30,2026-07-04 22:57:45.354493+05:30,SUCCESS,,2026-07-04 22:57:45.354493+05:30
26,site_1668,ETP-COD,13803,2026-07-04 22:57:45.354668+05:30,2026-07-04 22:57:45.354668+05:30,SUCCESS,,2026-07-04 22:57:45.354668+05:30
27,site_1668,ETP-BOD,13803,2026-07-04 22:57:45.354834+05:30,2026-07-04 22:57:45.354834+05:30,SUCCESS,,2026-07-04 22:57:45.354834+05:30
28,site_1668,ETP-TSS,13803,2026-07-04 22:57:45.354995+05:30,2026-07-04 22:57:45.354995+05:30,SUCCESS,,2026-07-04 22:57:45.354995+05:30
29,site_1668,ETP-Flow,13803,2026-07-04 22:57:45.355156+05:30,2026-07-04 22:57:45.355156+05:30,SUCCESS,,2026-07-04 22:57:45.355156+05:30
