site_id,name,category,city,state,created_at
site_1799,Privi Speciality Chemicals  Limited  Unit 10,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.742252+05:30
site_1232,M/s.Altaroma Chemicals Pvt Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.744489+05:30
site_1369,M/s.Privi Specialty Chemicals Ltd(Unit-II),Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.744827+05:30
site_1167,Super Petroleum Products Private Limited,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.745118+05:30
site_1131,RUPA ORGANICS PVT LTD. Taloja,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.74591+05:30
site_1256,SHREE VINAYAK ORGANICS (I) PVT LTD,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.74613+05:30
site_1376,M/s.Privi Speciality Chemicals Limited Unit III,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.746317+05:30
site_1787,SHREE HARI CHEMICALS EXPORT LIMITED,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.746628+05:30
site_1756,M/s. Aquapharm Chemicals Pvt. Ltd.,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.746769+05:30
site_1221,Zirconium Chemicals Pvt. Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.747356+05:30
site_1581,M/s Memba Chem Industries Private Limited,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.747638+05:30
site_1264,Imagico India Pvt Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.747777+05:30
site_1909,Cyklo Pharma Chem Pvt Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.747919+05:30
site_1668,Nouryon Chemicals India Private Limited,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.748073+05:30
site_1257,Dorf Ketal Chemicals India Pvt Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.74827+05:30
site_1310,Aezis Global Pvt Ltd,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.74854+05:30
site_982,PREETI PETROCHEM PVT LTD,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.749069+05:30
site_1138,Nixon Chemicals Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.749399+05:30
site_1203,Anmol Chemicals Pvt. Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.749677+05:30
site_1284,CORROGARD CHEMICALS,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.749878+05:30
site_1905,Allnex Resins India Pvt ltd,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.75008+05:30
site_1789,sudarshan chemical industries ltd Mahad,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.750231+05:30
site_1285,VVL Pharma Pvt Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.750663+05:30
site_1280,EKVIRA FINE CHEM PVT LTD,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.750954+05:30
site_887,Dow Chemical International Pvt Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.751092+05:30
site_1259,EUROCHEM INDUSTRIES,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.751232+05:30
site_1569,M/s.Galaxy Surfactants Limited,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.75137+05:30
site_1247,Ducol Organics & Colours Pvt Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.751646+05:30
site_1281,M/s RAMDEV CHEMI-Pharma PVT LTD,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.751954+05:30
site_1200,Metallurgical Products India(P) Ltd,Chemical,Taloja,Maharashtra,2026-07-04 22:57:20.752374+05:30
site_2070,Prigiv Specialties Pvt Ltd,Chemical,Mahad,Maharashtra,2026-07-04 22:57:20.752789+05:30
site_1321,M/s. Indo Amines Ltd.,Drugs and Pharmaceuticals,Mahad,Maharashtra,2026-07-04 22:57:20.753065+05:30
site_1561,GRASIM INDUSTRIES LIMITED,Chemical,Mahad,Maharashtra,2026-07-11 10:21:25.034142+05:30
