factory_id,our_factory_name,inspection_schedule_best_match,confidence,notes
site_1789,sudarshan chemical industries ltd Mahad,M/s Sudarshan Chemical Industries Limited,HIGH,
site_1259,EUROCHEM INDUSTRIES,Arochem Industries,HIGH,
site_1787,SHREE HARI CHEMICALS EXPORT LIMITED,Shree Hari Chemicals Exports Ltd.,HIGH,
site_1369,M/s.Privi Specialty Chemicals Ltd(Unit-II),M/s Privi Speciality Chemicals limited Unit II,HIGH,
site_1138,Nixon Chemicals Ltd,M/s. Nixon Chemicals Ltd.,HIGH,
site_1200,Metallurgical Products India(P) Ltd,M/s Metallurgical Products (India) Pvt. Ltd.,HIGH,
site_1203,Anmol Chemicals Pvt. Ltd,Anmol Chemicals,HIGH,
site_1232,M/s.Altaroma Chemicals Pvt Ltd,Altaroma Chemicals Pvt. Ltd.,HIGH,
site_1247,Ducol Organics & Colours Pvt Ltd,Ducol Organics And Colours Pvt Ltd,HIGH,
site_1257,Dorf Ketal Chemicals India Pvt Ltd,Dorf Ketal Chemicals (I) Pvt Ltd,HIGH,
site_1280,EKVIRA FINE CHEM PVT LTD,Ekvira Fine Chem Pvt Ltd,HIGH,
site_1281,M/s RAMDEV CHEMI-Pharma PVT LTD,Ramdev Chemi-Pharma Pvt Ltd,HIGH,
site_1284,CORROGARD CHEMICALS,Corrogard Chemicals.,HIGH,
site_1310,Aezis Global Pvt Ltd,M/s. Aezis Global Pvt.Ltd.,HIGH,
site_1321,M/s. Indo Amines Ltd.,Indo Amines Ltd.,HIGH,
site_1376,M/s.Privi Speciality Chemicals Limited Unit III,M/s Privi Speciality Chemicals limited Unit III,HIGH,
site_1569,M/s.Galaxy Surfactants Limited,GALAXY SURFACTANTS LTD,HIGH,
site_1668,Nouryon Chemicals India Private Limited,M/s. Nouryon Chemicals India Pvt. Ltd.,HIGH,
site_1756,M/s. Aquapharm Chemicals Pvt. Ltd.,M/s. Aquapharm Chemicals Private Limited,HIGH,
site_1799,Privi Speciality Chemicals  Limited  Unit 10,Privi Speciality Chemicals Limited Unit -10,HIGH,
site_1905,Allnex Resins India Pvt ltd,Allnex Resins India Pvt Ltd,HIGH,
site_1909,Cyklo Pharma Chem Pvt Ltd,Cyklo Pharma Chem Pvt. Ltd.,HIGH,
site_2070,Prigiv Specialties Pvt Ltd,Prigiv Specialties Private Limited,HIGH,
site_887,Dow Chemical International Pvt Ltd,Dow Chemical International Private Limited,HIGH,
site_1167,Super Petroleum Products Private Limited,,UNMATCHED,
site_1264,Imagico India Pvt Ltd,,UNMATCHED,
site_1131,RUPA ORGANICS PVT LTD. Taloja,Rupa Organics Pvt Ltd,HIGH,
site_1221,Zirconium Chemicals Pvt. Ltd,,UNMATCHED,
site_1285,VVL Pharma Pvt Ltd,V.V.L Pharma Pvt. Ltd,HIGH,
site_1256,SHREE VINAYAK ORGANICS (I) PVT LTD,,UNMATCHED,
site_1561,GRASIM INDUSTRIES LIMITED,,MEDIUM,"NEEDS REVIEW: candidate matches found are all labeled 'Unit - Century Rayon' (e.g. 'GRASIM INDUSTRIES LIMITED (UNIT- CENTURY RAYON)') — unclear if this is the same physical facility as the OCEMS site or a different Grasim unit. Do not auto-join, needs manual confirmation before use."
site_982,PREETI PETROCHEM PVT LTD,,UNMATCHED,
site_1581,M/s Memba Chem Industries Private Limited,,UNMATCHED,
