id,factory,status,pdf_downloaded,tables_detected,limits_extracted,execution_time,error_message,timestamp
80,Aastrid Life Sciences Private Limited -B 19,FAILED_SEARCH,f,0,0,174.98,Failed to locate consent row in live MPCB CMS search,2026-07-05 22:58:51.841724+05:30
81,Aezis Global Pvt Ltd,SUCCESS_CACHED,t,4,6,1.42,,2026-07-05 22:58:53.293463+05:30
82,Allnex Resins India Pvt ltd,FAILED_RESOLVING,f,0,0,36.35,Failed to resolve direct PDF URL from blockchain document page,2026-07-05 22:59:29.795962+05:30
83,Anmol Chemicals Pvt. Ltd,FAILED_SEARCH,f,0,0,40399.6,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:12:49.457855+05:30
84,AQUAPHARM CHEMICAL LIMITED,SUCCESS_CACHED,t,4,10,5.83,,2026-07-06 10:12:55.341103+05:30
85,Balajee Rang udyog Pvt Ltd,FAILED_SEARCH,f,0,0,134.8,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:15:10.178352+05:30
86,Breeze Chemicals Pvt. Ltd,FAILED_RESOLVING,f,0,0,47.76,Failed to resolve direct PDF URL from blockchain document page,2026-07-06 10:15:57.986974+05:30
87,CORROGARD CHEMICALS,FAILED_RESOLVING,f,0,0,90.07,Failed to resolve direct PDF URL from blockchain document page,2026-07-06 10:17:28.092955+05:30
88,Aastrid Life Sciences Private Limited -B 19,FAILED_SEARCH,f,0,0,149.64,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:21:43.312194+05:30
89,Aezis Global Pvt Ltd,SKIPPED_DB_EXISTS,f,0,0,0.03,,2026-07-06 10:21:43.384107+05:30
90,Allnex Resins India Pvt ltd,FAILED_SEARCH,f,0,0,135.71,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:23:59.140161+05:30
91,Anmol Chemicals Pvt. Ltd,FAILED_SEARCH,f,0,0,156.4,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:26:35.682091+05:30
92,AQUAPHARM CHEMICAL LIMITED,SKIPPED_DB_EXISTS,f,0,0,0.04,,2026-07-06 10:26:35.754807+05:30
93,Balajee Rang udyog Pvt Ltd,FAILED_SEARCH,f,0,0,144.33,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:29:00.123101+05:30
94,Breeze Chemicals Pvt. Ltd,FAILED_SEARCH,f,0,0,133.05,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:31:13.215165+05:30
95,CORROGARD CHEMICALS,FAILED_SEARCH,f,0,0,145.67,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:33:39.036994+05:30
96,Cyklo Pharma Chem Pvt Ltd,SUCCESS_LIVE,t,0,0,117.44,,2026-07-06 10:35:36.618479+05:30
97,Dorf Ketal Chemicals India Pvt Ltd,SUCCESS_LIVE,t,2,2,45.35,,2026-07-06 10:36:22.018736+05:30
98,Aastrid Life Sciences Private Limited -B 19,FAILED_SEARCH,f,0,0,130.74,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:40:10.453542+05:30
99,Aezis Global Pvt Ltd,SKIPPED_DB_EXISTS,f,0,0,0.14,,2026-07-06 10:40:10.629426+05:30
100,Allnex Resins India Pvt ltd,FAILED_SEARCH,f,0,0,159.79,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:42:50.462824+05:30
101,Anmol Chemicals Pvt. Ltd,FAILED_SEARCH,f,0,0,128.36,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:44:58.979045+05:30
102,AQUAPHARM CHEMICAL LIMITED,SKIPPED_DB_EXISTS,f,0,0,0.04,,2026-07-06 10:44:59.075927+05:30
103,Balajee Rang udyog Pvt Ltd,FAILED_SEARCH,f,0,0,138.7,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:47:17.824136+05:30
104,Breeze Chemicals Pvt. Ltd,SUCCESS_LIVE,t,0,0,133.8,,2026-07-06 10:49:31.681197+05:30
105,CORROGARD CHEMICALS,FAILED_SEARCH,f,0,0,110.91,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:51:22.74195+05:30
106,Cyklo Pharma Chem Pvt Ltd,SKIPPED_DB_EXISTS,f,0,0,0.05,,2026-07-06 10:51:22.851318+05:30
107,Dorf Ketal Chemicals India Pvt Ltd,SUCCESS_CACHED,t,2,3,2.36,,2026-07-06 10:51:25.260239+05:30
108,Dow Chemical International Pvt Ltd,SUCCESS_CACHED,t,3,5,1.84,,2026-07-06 10:51:27.242924+05:30
109,Ducol Organics & Colours Pvt Ltd,SUCCESS_LIVE,t,2,4,77.59,,2026-07-06 10:52:44.89455+05:30
110,Privi Speciality Chemicals  Limited  Unit 10,SUCCESS_CACHED,t,5,11,2.78,,2026-07-06 10:54:22.173846+05:30
111,M/s.Privi Speciality Chemicals Limited Unit III,SUCCESS_CACHED,t,3,5,2.95,,2026-07-06 10:54:25.246945+05:30
112,PREETI PETROCHEM PVT LTD,SUCCESS_CACHED,t,4,22,4.73,,2026-07-06 10:54:30.338203+05:30
113,Nixon Chemicals Ltd,SUCCESS_CACHED,t,3,5,2.8,,2026-07-06 10:54:33.242852+05:30
114,Indo Amines Limited (Formerly Known as LASA Supergenerics Limited),SUCCESS_CACHED,t,5,18,2.93,,2026-07-06 10:54:36.333048+05:30
115,Range Polymers,SUCCESS_CACHED,t,4,7,2.87,,2026-07-06 10:54:39.317776+05:30
116,M/s. Indo Amines Ltd.,SUCCESS_CACHED,t,4,13,3.13,,2026-07-06 10:54:42.554356+05:30
117,EKVIRA FINE CHEM PVT LTD,FAILED_SEARCH,f,0,0,121.93,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:54:46.880703+05:30
118,EUROCHEM INDUSTRIES,FAILED_SEARCH,f,0,0,128.94,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:56:55.964907+05:30
119,GAURI ACIDS PVT LTD,FAILED_SEARCH,f,0,0,143.2,Failed to locate consent row in live MPCB CMS search,2026-07-06 10:59:19.211391+05:30
120,GRASIM INDUSTRIES LIMITED,FAILED_SEARCH,f,0,0,135.0,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:01:34.26441+05:30
121,Imagico India Pvt Ltd,SUCCESS_LIVE,t,4,9,94.04,,2026-07-06 11:03:08.365914+05:30
122,Indo Amines Limited (Formerly Known as LASA Supergenerics Limited),SKIPPED_DB_EXISTS,f,0,0,0.05,,2026-07-06 11:03:08.479686+05:30
123,M/s Memba Chem Industries Private Limited,FAILED_SEARCH,f,0,0,143.78,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:05:32.299346+05:30
124,M/s RAMDEV CHEMI-Pharma PVT LTD,SUCCESS_LIVE,t,0,0,33.79,,2026-07-06 11:06:06.139099+05:30
125,M/s. Anmol Chemicals Industries Pvt. Ltd.,SUCCESS_LIVE,t,4,11,134.93,,2026-07-06 11:08:21.202395+05:30
126,M/s. Aquapharm Chemicals Pvt. Ltd.,SKIPPED_DB_EXISTS,f,0,0,0.16,,2026-07-06 11:08:21.416034+05:30
127,M/s. Indo Amines Ltd.,SKIPPED_DB_EXISTS,f,0,0,0.04,,2026-07-06 11:08:21.493573+05:30
128,M/s. Ravi Biolife Pvt.Ltd,SUCCESS_LIVE,t,4,8,98.77,,2026-07-06 11:10:00.326833+05:30
129,M/s.Altaroma Chemicals Pvt Ltd,FAILED_SEARCH,f,0,0,157.88,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:12:38.276965+05:30
130,M/s.Galaxy Surfactants Limited,FAILED_SEARCH,f,0,0,146.79,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:15:05.221502+05:30
131,M/s.Privi Speciality Chemicals Limited Unit III,SKIPPED_DB_EXISTS,f,0,0,0.04,,2026-07-06 11:15:05.303499+05:30
132,M/s.Privi Specialty Chemicals Ltd(Unit-II),FAILED_SEARCH,f,0,0,121.83,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:17:07.182271+05:30
133,MAHAVIR CHEMICALS INDIA,FAILED_SEARCH,f,0,0,141.95,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:19:29.274523+05:30
134,Marvel Drugs Pvt. Ltd,FAILED_SEARCH,f,0,0,160.55,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:22:09.969709+05:30
135,Metallurgical Products India(P) Ltd,FAILED_SEARCH,f,0,0,122.15,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:24:12.174318+05:30
136,Mody Chemi Pharma Pvt Ltd,SKIPPED_DB_EXISTS,f,0,0,0.05,,2026-07-06 11:24:12.369124+05:30
137,Nixon Chemicals Ltd,SKIPPED_DB_EXISTS,f,0,0,0.13,,2026-07-06 11:24:12.643324+05:30
138,Nouryon Chemicals India Private Limited,SUCCESS_LIVE,t,4,21,113.63,,2026-07-06 11:26:06.415472+05:30
139,Oriental Aromatics & Sons Limited,FAILED_SEARCH,f,0,0,123.81,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:28:10.262441+05:30
140,PREETI PETROCHEM PVT LTD,SKIPPED_DB_EXISTS,f,0,0,0.04,,2026-07-06 11:28:10.459094+05:30
141,Prigiv Specialties Pvt Ltd,FAILED_SEARCH,f,0,0,146.71,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:30:37.221505+05:30
142,Privi Speciality Chemicals  Limited  Unit 10,SKIPPED_DB_EXISTS,f,0,0,0.04,,2026-07-06 11:30:37.313234+05:30
143,Range Polymers,SKIPPED_DB_EXISTS,f,0,0,0.05,,2026-07-06 11:30:37.408582+05:30
144,Ricinash Oil Mill Limited,FAILED_SEARCH,f,0,0,132.83,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:32:50.29121+05:30
145,RUPA ORGANICS PVT LTD. Taloja,FAILED_MAPPING,f,0,0,202.64,Failed to resolve consent number via CMS live search,2026-07-06 11:36:12.976659+05:30
146,SAGARKALA CHEMICALS PVT LTD,SUCCESS_LIVE,t,0,0,13.93,,2026-07-06 11:36:26.946166+05:30
147,SHREE HARI CHEMICALS EXPORT LIMITED,FAILED_SEARCH,f,0,0,108.67,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:38:15.659401+05:30
148,SHREE VINAYAK ORGANICS (I) PVT LTD,FAILED_SEARCH,f,0,0,128.58,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:40:24.274718+05:30
149,Sindhu Organics Pvt. Ltd.,FAILED_SEARCH,f,0,0,135.13,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:42:39.543223+05:30
150,sudarshan chemical industries ltd Mahad,SUCCESS_LIVE,t,7,29,133.02,,2026-07-06 11:44:52.609603+05:30
151,Super Petroleum Products Private Limited,FAILED_SEARCH,f,0,0,190.41,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:48:03.055726+05:30
152,VASUDHA CHEMICALS PVT LTD,FAILED_SEARCH,f,0,0,120.14,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:50:03.236672+05:30
153,VVL Pharma Pvt Ltd,FAILED_SEARCH,f,0,0,140.87,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:52:24.143256+05:30
154,Yellowstone Chemicals Pvt. Ltd,SUCCESS_LIVE,t,4,5,42.07,,2026-07-06 11:53:06.250605+05:30
155,Zirconium Chemicals Pvt. Ltd,FAILED_SEARCH,f,0,0,133.99,Failed to locate consent row in live MPCB CMS search,2026-07-06 11:55:20.383429+05:30
