id,factory_id,coverage_percentage,monitoring_days,expected_days,online_days,offline_days,avg_daily_coverage,coverage_grade,coverage_trend,coverage_stability_score,created_at,updated_at
1,site_1131,88.37,365.99,366,347,19,93.20365033621518,B,Improving,82.15964454842727,2026-07-07 07:31:05.682015+05:30,2026-07-07 07:31:05.682015+05:30
3,site_1232,85.2,347.99,348,326,22,90.94452965235173,B,Declining,81.48569388028999,2026-07-07 07:31:20.40165+05:30,2026-07-07 07:31:20.40165+05:30
5,site_1167,26.16,304.57,305,135,170,59.02777777777778,D,Improving,68.75725623216456,2026-07-07 07:31:22.264436+05:30,2026-07-07 07:31:22.264436+05:30
6,site_1256,35.42,22.96,23,10,13,81.35416666666667,D,Improving,76.45305901430186,2026-07-07 07:31:23.332464+05:30,2026-07-07 07:31:23.332464+05:30
8,site_1787,97.23,365.99,366,366,0,97.22506830601093,A,Stable,90.56357893992521,2026-07-07 07:31:24.719034+05:30,2026-07-07 07:31:24.719034+05:30
10,site_1221,91.06,363.71,364,357,7,92.76960784313725,A,Stable,84.55197715354785,2026-07-07 07:31:26.301106+05:30,2026-07-07 07:31:26.301106+05:30
11,site_1581,0.42,342,342,9,333,15.856481481481483,F,Declining,81.6612092508264,2026-07-07 07:31:27.064733+05:30,2026-07-07 07:31:27.064733+05:30
12,site_1264,62.23,365.99,366,234,132,97.33796296296296,C,Improving,90.78462628463012,2026-07-07 07:31:27.14126+05:30,2026-07-07 07:31:27.14126+05:30
13,site_1909,44.09,85.33,86,50,36,75.25,D,Declining,67.72475455935357,2026-07-07 07:31:27.709351+05:30,2026-07-07 07:31:27.709351+05:30
15,site_1257,88.49,365.99,366,330,36,98.14709595959596,B,Improving,90.27993282156567,2026-07-07 07:31:29.162122+05:30,2026-07-07 07:31:29.162122+05:30
16,site_1310,78.95,365.99,366,295,71,97.95197740112994,B,Improving,90.41021791716241,2026-07-07 07:31:29.823523+05:30,2026-07-07 07:31:29.823523+05:30
17,site_982,95.6,30.99,31,31,0,95.59811827956989,A,Stable,91.89679884081085,2026-07-07 07:31:30.575515+05:30,2026-07-07 07:31:30.575515+05:30
18,site_1138,89.66,358.29,359,340,19,94.48223039215686,B,Improving,83.0770952363863,2026-07-07 07:31:30.937051+05:30,2026-07-07 07:31:30.937051+05:30
19,site_1203,89.3,365.99,366,342,24,95.56225633528265,B,Declining,83.92244266972457,2026-07-07 07:31:31.763014+05:30,2026-07-07 07:31:31.763014+05:30
20,site_1284,62.52,350.28,351,236,115,92.79661016949153,C,Declining,80.98513694950853,2026-07-07 07:31:32.505754+05:30,2026-07-07 07:31:32.505754+05:30
21,site_1905,66.35,247.44,248,179,69,91.72486033519553,C,Declining,82.15357302161394,2026-07-07 07:31:33.103538+05:30,2026-07-07 07:31:33.103538+05:30
23,site_1285,85.95,365.99,366,324,42,97.09683641975309,B,Improving,88.70773881791634,2026-07-07 07:31:33.728433+05:30,2026-07-07 07:31:33.728433+05:30
24,site_1280,84.78,364.74,365,343,22,90.15427599611273,B,Improving,79.09028406956769,2026-07-07 07:31:34.433907+05:30,2026-07-07 07:31:34.433907+05:30
27,site_1569,95.37,57.99,58,58,0,95.36637931034483,A,Stable,97.0077386338057,2026-07-07 07:31:36.584569+05:30,2026-07-07 07:31:36.584569+05:30
28,site_1247,73.87,365.99,366,280,86,96.5625,C,Improving,89.8970477795696,2026-07-07 07:31:36.796117+05:30,2026-07-07 07:31:36.796117+05:30
29,site_1281,61.62,365.99,366,290,76,77.76580459770115,C,Declining,70.16154603551784,2026-07-07 07:31:37.566097+05:30,2026-07-07 07:31:37.566097+05:30
30,site_1200,95.94,361.56,362,352,10,98.55291193181819,A,Stable,91.00349231060237,2026-07-07 07:31:38.240238+05:30,2026-07-07 07:31:38.240238+05:30
2,site_1799,42.44,365.99,366,354,12,43.882415254237294,D,Declining,63.236102779086615,2026-07-07 07:31:19.420944+05:30,2026-07-11 10:30:05.1722+05:30
4,site_1369,49.78,365.99,366,340,26,53.58884803921569,D,Declining,61.36871523292789,2026-07-07 07:31:21.058857+05:30,2026-07-11 10:30:08.023112+05:30
7,site_1376,52.75,365.99,366,364,2,53.04429945054945,C,Improving,60.90699823874338,2026-07-07 07:31:23.424324+05:30,2026-07-11 10:30:16.543333+05:30
9,site_1756,29.35,365.98,366,351,15,30.602445394112056,D,Declining,69.85217495546884,2026-07-07 07:31:25.570699+05:30,2026-07-11 10:30:21.869056+05:30
14,site_1668,49.77,365.99,366,365,1,49.903538812785385,D,Declining,61.26588927331586,2026-07-07 07:31:27.886428+05:30,2026-07-11 10:30:36.051303+05:30
22,site_1789,4.57,365.99,366,107,259,15.646904205607477,F,Improving,89.17266604358451,2026-07-07 07:31:33.505543+05:30,2026-07-11 10:30:55.041924+05:30
25,site_887,50.67,365.99,366,366,0,50.674521857923494,C,Improving,61.9778670865874,2026-07-07 07:31:35.11955+05:30,2026-07-11 10:31:02.707228+05:30
26,site_1259,29.15,144.83,145,51,94,82.7920751633987,D,Improving,73.38119513578347,2026-07-07 07:31:36.445498+05:30,2026-07-11 10:31:04.541999+05:30
31,site_2070,34.4,3.38,4,5,0,23.291666666666664,D,Declining,66.21805781107966,2026-07-07 07:31:39.048665+05:30,2026-07-11 10:31:21.109294+05:30
32,site_1321,33.17,365.99,366,336,30,36.13467261904762,D,Declining,66.42766220358817,2026-07-07 07:31:39.207542+05:30,2026-07-11 10:31:22.83455+05:30
70,site_1561,93.69,365.99,366,348,18,98.53927203065133,A,Declining,91.02082439009911,2026-07-11 10:32:02.723149+05:30,2026-07-11 10:32:02.723149+05:30
