id,factory_id,parameter,minimum,maximum,mean,median,mode_value,variance,standard_deviation,iqr,p5,p25,p75,p95,skewness,kurtosis,outlier_count,outlier_percentage,created_at,updated_at
1520,site_1799,ETP-pH,3.15,16.22,7.462112680486961,7.91,7.91,2.4766781689382644,1.5737465389757859,1.6099999999999994,4.05,6.9,8.51,9.17,-0.40031508319328574,2.1131857070745177,2540,7.99,2026-07-12 17:56:03.723946+05:30,2026-07-12 17:56:03.723946+05:30
1521,site_1799,ETP-COD,21,64.76,34.16931737422854,32.3,31.81,72.50750918429323,8.515134126030736,11.380000000000003,22.4,27.29,38.67,51.45,0.6693665184553939,-0.08951185525867977,110,1.03,2026-07-12 17:56:03.723946+05:30,2026-07-12 17:56:03.723946+05:30
1522,site_1799,ETP-BOD,2.1,6.47,3.4155152421918835,3.23,3.18,0.7233068179367423,0.8504744663637718,1.1600000000000001,2.24,2.71,3.87,5.13,0.6613470871707974,-0.10910421958257288,82,0.77,2026-07-12 17:56:03.723946+05:30,2026-07-12 17:56:03.723946+05:30
1523,site_1799,ETP-TSS,0,25.54,0.10726575649897138,0,0,0.9515548018253255,0.975476704911668,0,0,0,0,0.15,14.762843114899379,264.4939099751482,1736,16.23,2026-07-12 17:56:03.723946+05:30,2026-07-12 17:56:03.723946+05:30
1524,site_1799,ETP-Flow,0,0.21,0.0003431830933233589,0,0,2.1960026000327593e-05,0.004686152579710523,0,0,0,0,0,21.58911428983386,633.2775541799466,99,0.93,2026-07-12 17:56:03.723946+05:30,2026-07-12 17:56:03.723946+05:30
1525,site_1232,ETP-pH,6.45,8.98,8.369936406436652,8.41,8.51,0.079265518406846,0.28154132628593975,0.46000000000000085,7.9,8.12,8.58,8.79,-0.2382089072909469,-0.910844178753492,2,0.01,2026-07-12 17:56:06.337475+05:30,2026-07-12 17:56:06.337475+05:30
1526,site_1232,ETP-Flow,-2.36,-2.36,-2.3600000000000003,-2.36,-2.36,1.9721522630525295e-31,4.440892098500626e-16,0,-2.36,-2.36,-2.36,-2.36,NaN,NaN,0,0,2026-07-12 17:56:06.337475+05:30,2026-07-12 17:56:06.337475+05:30
1527,site_1369,ETP-pH,6.31,21.15,6.814043318893702,6.99,6.99,0.08095749362497294,0.2845303035266594,0.45999999999999996,6.53,6.53,6.99,6.99,15.639471275817161,730.332990809888,26,0.09,2026-07-12 17:56:07.671605+05:30,2026-07-12 17:56:07.671605+05:30
1528,site_1369,ETP-COD,25.8,89.41,65.09198256176043,44.33,44.32,503.4282119091832,22.43720597376561,44.93999999999999,44.07,44.27,89.21,89.37,0.1455137291674326,-1.9767682388844163,0,0,2026-07-12 17:56:07.671605+05:30,2026-07-12 17:56:07.671605+05:30
1529,site_1369,ETP-BOD,13.2,25.85,19.163113522537564,13.51,25.85,37.88068042840368,6.154728298503816,12.32,13.39,13.48,25.8,25.85,0.15484034503006125,-1.9758671963277585,0,0,2026-07-12 17:56:07.671605+05:30,2026-07-12 17:56:07.671605+05:30
1530,site_1369,ETP-TSS,1.8,21.27,10.889110096187116,2.08,2.03,91.2077704903354,9.550275937915899,19.119999999999997,1.89,2.03,21.15,21.24,0.14493453681223695,-1.9781746166035776,0,0,2026-07-12 17:56:07.671605+05:30,2026-07-12 17:56:07.671605+05:30
1531,site_1369,ETP-Flow,0,44.05,0.24339614651704422,0,0,6.007554504723664,2.4510313145130693,0,0,0,0,0,16.374839835391224,286.42411273583264,522,3.68,2026-07-12 17:56:07.671605+05:30,2026-07-12 17:56:07.671605+05:30
1532,site_1167,ETP-Flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 17:56:09.866227+05:30,2026-07-12 17:56:09.866227+05:30
1533,site_1131,ETP-Flow,0,4.32,0.0011443571244524608,0,0,0.0024731525699358474,0.04973080101844175,0,0,0,0,0,65.04042840513404,4783.9339060435805,146,0.47,2026-07-12 17:56:10.010378+05:30,2026-07-12 17:56:10.010378+05:30
1534,site_1256,ETP-pH,3.93,7.46,5.279065300896287,4.7,4.4,1.2255045040584562,1.1070250692999035,2.4799999999999995,4.35,4.41,6.89,7.17,0.8708778222481953,-0.9985332734885239,0,0,2026-07-12 17:56:10.751971+05:30,2026-07-12 17:56:10.751971+05:30
1535,site_1256,ETP-Flow,0,1,0.46877080665813065,0.01,0,0.24254880918616106,0.4924924458163405,1,0,0,1,1,0.1281348534702861,-1.9654623179115567,0,0,2026-07-12 17:56:10.751971+05:30,2026-07-12 17:56:10.751971+05:30
1536,site_1376,ETP-pH,0.59,15.52,7.402610253742559,6.38,6.38,1.3893472181342696,1.1787057385684816,2.4300000000000006,6.15,6.38,8.81,8.88,0.24472622428737903,-1.7724555001686837,2,0.01,2026-07-12 17:56:10.833192+05:30,2026-07-12 17:56:10.833192+05:30
1537,site_1376,ETP-BOD,2.21,25.13,8.94490158816343,2.33,2.31,81.78751365598633,9.043644931994308,12.46,2.25,2.3,14.76,25.03,0.9210051120314169,-0.7952281869218845,0,0,2026-07-12 17:56:10.833192+05:30,2026-07-12 17:56:10.833192+05:30
1538,site_1376,ETP-TSS,0.11,1.14,0.5867605538210942,0.6,0.63,0.00928311939961184,0.09634894602231951,0.10999999999999999,0.44,0.53,0.64,0.68,0.6278297057285938,5.05691411952815,462,3.14,2026-07-12 17:56:10.833192+05:30,2026-07-12 17:56:10.833192+05:30
1539,site_1376,ETP-Flow,0,34.06,2.451064504504505,0,0,40.23551431908242,6.3431470359027955,0,0,0,0,19.92,2.6741657082542796,6.117261746375416,2451,17.66,2026-07-12 17:56:10.833192+05:30,2026-07-12 17:56:10.833192+05:30
1540,site_1376,ETP-COD,3.06,176.3,53.665037328627655,3.25,3.22,4730.143813324927,68.77604098321542,94.85,3.12,3.22,98.07,176.11,0.9261409442256293,-0.7871896442034392,0,0,2026-07-12 17:56:10.833192+05:30,2026-07-12 17:56:10.833192+05:30
1541,site_1787,ETP-Flow,0,15.2,5.204046134480841,5.66,0.04,8.985384577245751,2.9975631064659427,4.300000000000001,0.05,3.19,7.49,9.41,-0.3196241182932937,-0.7902585457889097,7,0.02,2026-07-12 17:56:13.142455+05:30,2026-07-12 17:56:13.142455+05:30
1542,site_1756,ETP-TSS,23.01,25.43,24.158807239819,24.73,23.01,1.0539037899928327,1.026598163836675,2.129999999999999,23.01,23.01,25.14,25.31,-0.1431980959212316,-1.8610703798869723,0,0,2026-07-12 17:56:14.118454+05:30,2026-07-12 17:56:14.118454+05:30
1543,site_1756,ETP-BOD,19.08,25.81,22.723958371040723,23.26,20.95,2.8598558788100172,1.691110841668877,3.6000000000000014,20.95,20.95,24.55,25.12,0.08857895101248915,-1.6266481120928706,0,0,2026-07-12 17:56:14.118454+05:30,2026-07-12 17:56:14.118454+05:30
1544,site_1756,ETP-Flow,0,6.58,1.3706208144796381,0,0,3.278865768435536,1.810763863245436,3.33,0,0,3.33,4.32,0.8562879261632215,-0.6092924052652808,0,0,2026-07-12 17:56:14.118454+05:30,2026-07-12 17:56:14.118454+05:30
1545,site_1756,ETP-COD,76.24,100.82,83.60830045248869,85.66,78.24,25.365994812895746,5.036466500722083,10.320000000000007,78.24,78.24,88.56,90.44600000000001,0.054037445836377415,-1.5450057464501321,0,0,2026-07-12 17:56:14.118454+05:30,2026-07-12 17:56:14.118454+05:30
1546,site_1756,ETP-pH,5.48,7.31,7.018647951390068,7.03,7.03,0.009991026440268376,0.09995512213122636,0.11999999999999922,6.91,6.94,7.06,7.25,0.8530258612579272,3.2472508614067044,2305,7.82,2026-07-12 17:56:14.118454+05:30,2026-07-12 17:56:14.118454+05:30
1547,site_1221,ETP-pH,0.26,9.58,7.416948480845442,7.47,8,0.3218772706048822,0.5673422869880952,0.9199999999999999,6.36,7.08,8,8,-0.8566966210550316,1.9079873543802623,260,0.82,2026-07-12 17:56:15.611489+05:30,2026-07-12 17:56:15.611489+05:30
1548,site_1221,ETP-Flow,0,19185.73,5.0444033465433735,0,0,31075.093003073893,176.28128942991623,0,0,0,0,2.1434999999999853,62.2086576196334,5322.558544939512,2716,8.54,2026-07-12 17:56:15.611489+05:30,2026-07-12 17:56:15.611489+05:30
