id,factory_id,site_id,industry,location,monitoring_period,parameters_available,coverage_percentage,quality_grade,readiness_score,total_records,expected_records,cto_available,number_of_cto_limits,inspection_schedule_available,inspection_count,data_quality_issues,strongest_characteristics,weakest_characteristics,recommended_fingerprints,created_at,updated_at,cto_status
18,site_1264,site_1264,Chemical,"Taloja, Maharashtra",2024-01-01 to 2024-12-31,"[""ETP-pH"", ""ETP-Flow""]",62.23,C,59.9,43732,70272,t,9,f,0,"[""Low overall data coverage"", ""High ratio of zero measurements"", ""Prolonged sensor outages (>24h)""]","[""No negative sensor values"", ""Consent limits fully mapped""]","[""Poor data density"", ""Frequent flatline zeroes"", ""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:27.14126+05:30,2026-07-12 17:52:07.583698+05:30,EXTRACTED
17,site_1581,site_1581,Chemical,"Taloja, Maharashtra",2024-01-05 to 2024-12-12,"[""ETP-Flow"", ""ETP-pH""]",0.42,F,35.2,274,65666,t,10,f,0,"[""Low overall data coverage"", ""High ratio of zero measurements"", ""Negative sensor values detected"", ""Prolonged sensor outages (>24h)""]","[""Consent limits fully mapped""]","[""Poor data density"", ""Frequent flatline zeroes"", ""Negative calibration errors"", ""Extended multi-day outages""]","[""Data Gap Recovery"", ""Sensor Calibration Audit""]",2026-07-07 07:31:27.064733+05:30,2026-07-12 12:08:43.037375+05:30,ESTIMATED_PROXY
4,site_1369,site_1369,Chemical,"Mahad, Maharashtra",2024-01-01 to 2024-12-31,"[""ETP-pH"", ""ETP-COD"", ""ETP-BOD"", ""ETP-TSS"", ""ETP-Flow""]",49.78,D,64.9,87457,175680,t,62,f,0,"[""Low overall data coverage"", ""High ratio of zero measurements"", ""Prolonged sensor outages (>24h)""]","[""No negative sensor values"", ""Consent limits fully mapped""]","[""Poor data density"", ""Frequent flatline zeroes"", ""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:21.058857+05:30,2026-07-12 17:51:58.029055+05:30,EXTRACTED
10,site_1787,site_1787,Chemical,"Mahad, Maharashtra",2024-01-01 to 2024-12-31,"[""ETP-Flow""]",97.23,A,83.9,34161,35136,t,9,t,15,"[""Prolonged sensor outages (>24h)""]","[""Excellent data density"", ""No negative sensor values"", ""Consent limits fully mapped""]","[""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:24.719034+05:30,2026-07-12 17:52:03.510198+05:30,EXTRACTED
11,site_1756,site_1756,Chemical,"Mahad, Maharashtra",2024-01-01 to 2024-12-31,"[""ETP-TSS"", ""ETP-BOD"", ""ETP-Flow"", ""ETP-COD"", ""ETP-pH""]",29.35,D,71.7,51559,175675,t,10,t,30,"[""Low overall data coverage"", ""Prolonged sensor outages (>24h)""]","[""No negative sensor values"", ""Consent limits fully mapped""]","[""Poor data density"", ""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:25.570699+05:30,2026-07-12 17:52:04.297979+05:30,EXTRACTED
15,site_1221,site_1221,Chemical,"Taloja, Maharashtra",2024-01-03 to 2024-12-31,"[""ETP-pH"", ""ETP-Flow""]",91.06,A,71.4,63588,69834,t,13,f,0,"[""High ratio of zero measurements"", ""Prolonged sensor outages (>24h)""]","[""Excellent data density"", ""No negative sensor values"", ""Consent limits fully mapped""]","[""Frequent flatline zeroes"", ""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:26.301106+05:30,2026-07-12 17:52:05.712357+05:30,EXTRACTED
5,site_1167,site_1167,Chemical,"Taloja, Maharashtra",2024-01-01 to 2024-10-31,"[""ETP-Flow""]",26.16,D,40.5,7650,29240,t,4,f,0,"[""Low overall data coverage"", ""High ratio of zero measurements"", ""Prolonged sensor outages (>24h)""]","[""No negative sensor values"", ""Consent limits fully mapped""]","[""Poor data density"", ""Frequent flatline zeroes"", ""Extended multi-day outages""]","[""Data Gap Recovery"", ""Sensor Calibration Audit""]",2026-07-07 07:31:22.264436+05:30,2026-07-12 11:17:11.952776+05:30,ESTIMATED_PROXY
36,site_1280,site_1280,Chemical,"Taloja, Maharashtra",2024-01-02 to 2024-12-31,"[""ETP-Flow""]",84.78,B,78.9,29686,35016,t,6,t,1,"[""Negative sensor values detected"", ""Prolonged sensor outages (>24h)""]","[""Excellent data density"", ""Consent limits fully mapped""]","[""Negative calibration errors"", ""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:34.433907+05:30,2026-07-12 11:17:28.668641+05:30,ESTIMATED_PROXY
19,site_1909,site_1909,Chemical,"Taloja, Maharashtra",2024-04-16 to 2024-07-10,"[""ETP-Flow"", ""ETP-pH""]",44.09,D,62.4,7224,16386,t,14,t,1,"[""Low overall data coverage"", ""High ratio of zero measurements"", ""Negative sensor values detected"", ""Prolonged sensor outages (>24h)""]","[""Consent limits fully mapped""]","[""Poor data density"", ""Frequent flatline zeroes"", ""Negative calibration errors"", ""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:27.709351+05:30,2026-07-12 11:18:44.821195+05:30,EXTRACTED
30,site_1905,site_1905,Chemical,"Mahad, Maharashtra",2024-01-01 to 2024-09-04,"[""ETP-Flow""]",66.35,C,71.5,15762,23755,t,18,t,3,"[""Low overall data coverage"", ""High ratio of zero measurements"", ""Prolonged sensor outages (>24h)""]","[""No negative sensor values"", ""Consent limits fully mapped""]","[""Poor data density"", ""Frequent flatline zeroes"", ""Extended multi-day outages""]","[""Single Parameter Trend"", ""Basic Limit Compliance"", ""Diurnal Profiling""]",2026-07-07 07:31:33.103538+05:30,2026-07-12 11:04:42.658144+05:30,EXTRACTED
